Výsledky

Výpočtový krok 1

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 3.11.2010 15:31:27
-----------------------------------------------------------------------------
Output data for request: STRESS
Description: Stress
  Step: 1  Iteration: 2 at Time: 1
-----------------------------------------------------------------------------------------------
Group Elem.    IP   sigma_xx   sigma_yy     tau_xy 
Units                    MPa        MPa        MPa 
    3   158     4  0.0342780 -0.2823006  0.3083225 
    3   159     1  0.1761307 -0.4098204  0.1659399 
    3   159     2  0.1088648 -0.4303595  0.1751051 
    3   159     3  0.1931265 -0.3786687  0.1380659 
    3   159     4  0.1295707 -0.3980046  0.1466565 
    3   160     1  0.2263036 -0.4012972  0.0381107 
    3   160     2  0.2147619 -0.4130952  0.0644171 
    3   160     3  0.1713839 -0.4178583  0.0407515 
    3   160     4  0.1552446 -0.4309773  0.0670764 
    3   161     1  0.2791087 -0.3450082  0.0356130 
    3   161     2  0.3360087 -0.3271909  0.0301042 
    3   161     3  0.2683775 -0.3620148  0.0615343 
    3   161     4  0.3270822 -0.3441875  0.0568628 
    3   162     1  0.2397040 -0.3636119  0.1544213 
    3   162     2  0.2593704 -0.3118639  0.1220792 
    3   162     3  0.3211315 -0.3359103  0.1364076 
    3   162     4  0.3303892 -0.2882756  0.1067236 
    3   163     1  0.3924587 -0.2088141  0.2498689 
    3   163     2  0.3091800 -0.2412010  0.2744363 
    3   163     3  0.4025180 -0.1410024  0.2186464 
    3   163     4  0.3157603 -0.1898090  0.2509022 
    3   164     1  0.4182394 -0.2133776  0.1808782 
    3   164     2  0.4108703 -0.2091134  0.2075854 
    3   164     3  0.3550393 -0.2326656  0.1774736 
    3   164     4  0.3480408 -0.2298236  0.1978119 
    3   165     1  0.4794376 -0.1836413  0.1678078 
    3   165     2  0.5380572 -0.1659164  0.1647913 
    3   165     3  0.4722884 -0.1922425  0.1876596 
    3   165     4  0.5342079 -0.1740239  0.1859986 
    3   166     1  0.4546246 -0.1880067  0.2308704 
    3   166     2  0.4593009 -0.1583354  0.2132221 
    3   166     3  0.5112994 -0.1689393  0.2180550 
    3   166     4  0.5199799 -0.1356029  0.1981326 
    3   167     1  0.4097305 -0.1131715  0.2618322 
    3   167     2  0.4037722 -0.1735987  0.2534309 
    3   167     3  0.3784625 -0.1781290  0.2831828 
    3   167     4  0.3827690 -0.2048709  0.2709803 
    3   168     1  0.4404177 -0.1500028  0.2358481 
    3   168     2  0.5056935 -0.1302637  0.2269195 
    3   168     3  0.4515336 -0.1679934  0.2547528 
    3   168     4  0.5031702 -0.1500651  0.2454764 
    3   169     1  0.4288572 -0.1365493  0.2670302 
    3   169     2  0.4412297 -0.1355752  0.2509543 
    3   169     3  0.4798487 -0.1208696  0.2704620 
    3   169     4  0.4816762 -0.1227840  0.2557915 
    3   170     1  0.1400317 -0.1826373  0.3213468 
    3   170     2  0.2274918 -0.1578873  0.3127590 
    3   170     3  0.1279992 -0.2147007  0.3543684 
    3   170     4  0.2078960 -0.1914853  0.3458503 
    3   171     1  0.0877157 -0.1590774  0.3891135 
    3   171     2  0.0970904 -0.1250540  0.3587524 
    3   171     3  0.1665800 -0.1366534  0.3793957 
    3   171     4  0.1774811 -0.1003963  0.3471703 
    3   172     1  0.0323866 -0.1661012  0.4080545 
    3   172     2 -0.0546467 -0.1919357  0.4216022 
    3   172     3  0.0437700 -0.1230334  0.3745787 
    3   172     4 -0.0441673 -0.1492237  0.3883370 
    3   173     1  0.0796087 -0.1861521  0.3401549 
    3   173     2  0.0640140 -0.2394780  0.3737805 
    3   173     3 -0.0086143 -0.2123280  0.3571095 
    3   173     4 -0.0241553 -0.2658855  0.3908805 
    3   174     1  0.3414984 -0.1282486  0.2953704 
    3   174     2  0.3317085 -0.1240437  0.3190553 
    3   174     3  0.2820336 -0.1473454  0.2887664 
    3   174     4  0.2755837 -0.1436232  0.3075790 
    3   175     1  0.4039889 -0.1158002  0.2682488 
    3   175     2  0.4548037 -0.0990801  0.2745785 
    3   175     3  0.3993987 -0.1090990  0.2843770 
    3   175     4  0.4554313 -0.0896829  0.2933477 
    3   176     1  0.3513242 -0.1031595  0.3194618 
    3   176     2  0.3584312 -0.0832847  0.2978925 
    3   176     3  0.4226697 -0.0834962  0.3135479 
    3   176     4  0.4300000 -0.0604705  0.2883422 
    3   177     1  0.2975754 -0.1127358  0.3497159 
    3   177     2  0.2191705 -0.1344534  0.3572381 
    3   177     3  0.3083810 -0.0820015  0.3188403 
    3   177     4  0.2280970 -0.1067081  0.3291980 
    3   178     1  0.0175247 -0.0658723  0.3926499 
    3   178     2  0.0097437 -0.1045722  0.4253721 
    3   178     3 -0.0684355 -0.0923364  0.4058585 
    3   178     4 -0.0750996 -0.1300978  0.4378927 
    3   179     1  0.0667231 -0.0842318  0.3808357 
    3   179     2  0.1481597 -0.0569345  0.3664242 
    3   179     3  0.0596512 -0.1201624  0.4113547 
    3   179     4  0.1423283 -0.0936091  0.3977351 
    3   180     1  0.0356594 -0.0825172  0.4231717 
    3   180     2  0.0442110 -0.0395594  0.3872267 
    3   180     3  0.1377122 -0.0486892  0.4052743 
    3   180     4  0.1335302 -0.0118364  0.3731800 
    3   181     1 -0.0185501 -0.0583581  0.4378810 
    3   181     2 -0.0946007 -0.0817784  0.4475217 
    3   181     3 -0.0095463 -0.0293274  0.4078063 
    3   181     4 -0.0853272 -0.0525697  0.4173082 
    3   182     1  0.2682480 -0.0402403  0.3642667 
    3   182     2  0.1802025 -0.0864247  0.3944259 
    3   182     3  0.2556184  0.0074992  0.3400255 
    3   182     4  0.1771588 -0.0464653  0.3736317 
    3   183     1  0.2799743 -0.0335803  0.3325276 
    3   183     2  0.2736077 -0.0771998  0.3630787 
    3   183     3  0.1959285 -0.0677042  0.3536293 
    3   183     4  0.1894860 -0.1065657  0.3808205 
    3   184     1  0.3265537 -0.0619203  0.3226046 
    3   184     2  0.4082320 -0.0259095  0.2997334 
    3   184     3  0.3205985 -0.0958734  0.3448037 
    3   184     4  0.3974934 -0.0667594  0.3264099 
    3   185     1  0.3314803 -0.0796604  0.3512523 
    3   185     2  0.3264913 -0.0517149  0.3384201 
    3   185     3  0.3786619 -0.0547148  0.3346951 
    3   185     4  0.3857049 -0.0161035  0.3155881 
    3   186     1  0.2847310  0.0056418  0.3529297 
    3   186     2  0.2839635 -0.0153607  0.3434035 
    3   186     3  0.2698396 -0.0315305  0.3628266 
    3   186     4  0.2703262 -0.0449248  0.3548213 
    3   187     1  0.3764616 -0.0414907  0.3341556 
    3   187     2  0.3814169 -0.0351881  0.3311800 
    3   187     3  0.3795083 -0.0431440  0.3335233 
    3   187     4  0.3887079 -0.0344388  0.3286477 
    3   188     1  0.4540446 -0.0226835  0.2953927 
    3   188     2  0.4772131 -0.0163496  0.2964052 
    3   188     3  0.4312699 -0.0339030  0.3104284 
    3   188     4  0.4629405 -0.0246684  0.3099617 
    3   189     1  0.3337915 -0.0139184  0.3308602 
    3   189     2  0.3511587 -0.0146777  0.3159977 
    3   189     3  0.3725124 -0.0007752  0.3368512 
    3   189     4  0.3851484 -0.0030227  0.3215673 
    3   190     1  0.1996593  0.0058399  0.3733910 
    3   190     2  0.1873815  0.0108331  0.3929743 
    3   190     3  0.1495092 -0.0113443  0.3655251 
    3   190     4  0.1402303 -0.0065699  0.3826649 
    3   191     1  0.2680522 -0.0024780  0.3300777 
    3   191     2  0.3112532  0.0122190  0.3366334 
    3   191     3  0.2584216  0.0017296  0.3464021 
    3   191     4  0.3047047  0.0177531  0.3540859 
    3   192     1  0.1832646  0.0075787  0.3647175 
    3   192     2  0.1906285  0.0053118  0.3441681 
    3   192     3  0.2371073  0.0247564  0.3710311 
    3   192     4  0.2437573  0.0221505  0.3498823 
    3   193     1  0.1284926  0.0150752  0.4111808 
    3   193     2  0.0705744 -0.0030425  0.4052879 
    3   193     3  0.1366709  0.0140846  0.3897834 
    3   193     4  0.0783433 -0.0042128  0.3835255 
    3   194     1  0.3630467  0.0259965  0.3226523 
    3   194     2  0.2912381  0.0049730  0.3230904 
    3   194     3  0.3726255  0.0357008  0.2956296 
    3   194     4  0.3027176  0.0153114  0.2957530 
    3   195     1  0.4439513  0.0311087  0.2845261 
    3   195     2  0.4320376  0.0142664  0.3125708 
    3   195     3  0.3704174  0.0099617  0.2874156 
    3   195     4  0.3553551 -0.0078872  0.3157918 
    3   196     1  0.5058155  0.0082052  0.2349944 
    3   196     2  0.5934887  0.0342380  0.2295743 
    3   196     3  0.4911381 -0.0147478  0.2723845 
    3   196     4  0.5804537  0.0137891  0.2629070 
    3   197     1  0.4182053  0.0035699  0.2701323 
    3   197     2  0.4295471  0.0185560  0.2390111 
    3   197     3  0.4982978  0.0269624  0.2677441 
    3   197     4  0.5093654  0.0420159  0.2362420 
    3   198     1  0.4934999 -0.0031451  0.3033253 
    3   198     2  0.4258252 -0.0231819  0.3083912 
    3   198     3  0.5071256  0.0173351  0.2754983 
    3   198     4  0.4499003  0.0008044  0.2791098 
    3   199     1  0.5763239  0.0085367  0.2569462 
    3   199     2  0.5606016 -0.0143362  0.2859769 
    3   199     3  0.5294695 -0.0054919  0.2609669 
    3   199     4  0.5035748 -0.0314330  0.2909049 
    3   200     1  0.6053452 -0.0077980  0.2386005 
    3   200     2  0.6557891  0.0084774  0.2330503 
    3   200     3  0.5971811 -0.0221349  0.2672679 
    3   200     4  0.6530140 -0.0050049  0.2632225 
    3   201     1  0.5448674 -0.0310203  0.2735555 
    3   201     2  0.5559203  0.0123308  0.2329158 
    3   201     3  0.6485724  0.0063687  0.2537535 
    3   201     4  0.6341611  0.0400741  0.2184313 
    3   202     1  0.6552798  0.0223502  0.2083984 
    3   202     2  0.5584308 -0.0070341  0.2154948 
    3   202     3  0.6661370  0.0429992  0.1728235 
    3   202     4  0.5715230  0.0145012  0.1793388 
    3   203     1  0.7412225  0.0397218  0.1717927 
    3   203     2  0.7289593  0.0195773  0.2109503 
    3   203     3  0.6493899  0.0124127  0.1764818 
    3   203     4  0.6369136 -0.0061539  0.2118171 
    3   204     1  0.8020036  0.0018153  0.1213647 
    3   204     2  0.8946634  0.0304751  0.1140903 
    3   204     3  0.7929001 -0.0159871  0.1574988 
    3   204     4  0.8898988  0.0137214  0.1505770 
    3   205     1  0.7239062 -0.0176712  0.1531410 
    3   205     2  0.7325231  0.0085379  0.1081103 
    3   205     3  0.8452786  0.0197995  0.1425663 
    3   205     4  0.8419101  0.0412188  0.1006285 
    3   206     1  0.8036531  0.0136508  0.2012532 
    3   206     2  0.7447270 -0.0050795  0.1947940 
    3   206     3  0.8133191  0.0109107  0.1764831 
    3   206     4  0.7679151 -0.0033892  0.1720937 
    3   207     1  0.8967500  0.0016680  0.1658811 
    3   207     2  0.8895831 -0.0019785  0.1874438 
    3   207     3  0.8593148 -0.0093767  0.1635646 
    3   207     4  0.8464943 -0.0148419  0.1869408 
    3   208     1  0.9344552 -0.0053949  0.1247791 
    3   208     2  0.9923193  0.0118769  0.1234083 
    3   208     3  0.9279944 -0.0153417  0.1604169 
    3   208     4  0.9985517  0.0057904  0.1584292 
    3   209     1  0.8535501 -0.0171898  0.1634114 
    3   209     2  0.8639099  0.0003193  0.1238417 
    3   209     3  0.9467194  0.0106617  0.1590828 
    3   209     4  0.9459841  0.0252001  0.1190902 
    3   210     1  0.7803458 -0.0103907  0.1836762 
    3   210     2  0.8213813  0.0005101  0.1888008 
    3   210     3  0.7703521 -0.0188447  0.2085452 
    3   210     4  0.8090473 -0.0075347  0.2087349 
    3   211     1  0.7315941  0.0094888  0.2174042 
    3   211     2  0.6833896 -0.0332067  0.2417869 
    3   211     3  0.7068948  0.0291121  0.2146451 
    3   211     4  0.6778801 -0.0078598  0.2334645 
    3   212     1  0.7434743  0.0273687  0.2041258 
    3   212     2  0.7274622 -0.0137314  0.2361974 
    3   212     3  0.6844900 -0.0003533  0.2214641 
    3   212     4  0.6768404 -0.0310916  0.2458355 
    3   213     1  1.0111071  0.0153038  0.0808578 
    3   213     2  0.8914331 -0.0300516  0.1055578 
    3   213     3  1.0008468  0.0445005  0.0335549 
    3   213     4  0.8853204 -0.0044552  0.0651247 
    3   214     1  1.0427996  0.0408092  0.0554277 
    3   214     2  1.0445151  0.0087574  0.0922776 
    3   214     3  0.9473738  0.0046819  0.0748891 
    3   214     4  0.9413879 -0.0297549  0.1127060 
    3   215     1  1.0949279 -0.0040584  0.0257122 
    3   215     2  1.2182167  0.0413989  0.0019260 
    3   215     3  1.0995422 -0.0264405  0.0636918 
    3   215     4  1.2134707  0.0145946  0.0432788 
    3   216     1  1.0692109 -0.0380303  0.0531988 
    3   216     2  1.0688024 -0.0049010  0.0228153 
    3   216     3  1.1514863 -0.0032910  0.0324742 
    3   216     4  1.1598012  0.0338275 -0.0003867 
    3   217     1  0.9827126  0.0340841  0.0362361 
    3   217     2  0.9990499  0.0039142  0.0449115 
    3   217     3  0.9434816 -0.0112863  0.0601507 
    3   217     4  0.9665652 -0.0212313  0.0599955 
    3   218     1  1.0283552 -0.0073702  0.0073565 
    3   218     2  1.1113905  0.0187224 -0.0020996 
    3   218     3  1.0445046 -0.0260137  0.0387827 
    3   218     4  1.1091475 -0.0020406  0.0262877 
    3   219     1  1.0031825 -0.0077164  0.0176570 
    3   219     2  1.0120274 -0.0256829 -0.0019991 
    3   219     3  1.0591374  0.0124187  0.0282039 
    3   219     4  1.0560421 -0.0062650  0.0099061 
    3   220     1  0.6594237  0.0024527  0.1033859 
    3   220     2  0.7631044  0.0331745  0.1065940 
    3   220     3  0.6515843 -0.0032645  0.1423789 
    3   220     4  0.7481570  0.0255667  0.1428760 
    3   221     1  0.5700862  0.0027507  0.1323058 
    3   221     2  0.5753154  0.0069882  0.0981635 
    3   221     3  0.6668182  0.0313950  0.1360757 
    3   221     4  0.6732512  0.0360680  0.1009723 
    3   222     1  0.5084523  0.0339038  0.2057195 
    3   222     2  0.4135527  0.0057965  0.2067454 
    3   222     3  0.5143803  0.0428770  0.1718583 
    3   222     4  0.4183895  0.0143957  0.1731337 
    3   223     1  0.5958530  0.0443818  0.1709894 
    3   223     2  0.5889098  0.0300726  0.2066397 
    3   223     3  0.4941038  0.0143693  0.1742252 
    3   223     4  0.4875859 -0.0002107  0.2110069 
    3   224     1  0.8945161  0.0121724  0.0553229 
    3   224     2  0.8883114  0.0303163  0.0808055 
    3   224     3  0.8290071 -0.0139698  0.0402636 
    3   224     4  0.8240929  0.0016136  0.0620294 
    3   225     1  0.9595323 -0.0312813 -0.0079453 
    3   225     2  1.0134813 -0.0050117  0.0086602 
    3   225     3  0.9603617 -0.0047111  0.0111819 
    3   225     4  1.0206645  0.0259046  0.0306461 
    3   226     1  0.8988827 -0.0075373  0.0161128 
    3   226     2  0.8945228 -0.0346153 -0.0163390 
    3   226     3  0.9969430  0.0325600  0.0397145 
    3   226     4  0.9892177  0.0031936  0.0053202 
    3   227     1  0.8346849  0.0303081  0.0822900 
    3   227     2  0.7340844 -0.0040831  0.0662156 
    3   227     3  0.8358652  0.0170597  0.0472913 
    3   227     4  0.7354680 -0.0170316  0.0318433 
    3   228     1  0.4282024  0.0299807  0.1765754 
    3   228     2  0.4261038  0.0269229  0.2104558 
    3   228     3  0.3342715  0.0019179  0.1758606 
    3   228     4  0.3330037 -0.0009053  0.2099362 
    3   229     1  0.4905311  0.0003264  0.0911737 
    3   229     2  0.5996364  0.0330126  0.0949286 
    3   229     3  0.4886070 -0.0007228  0.1322155 
    3   229     4  0.5981874  0.0321062  0.1359404 
    3   230     1  0.3996355 -0.0074062  0.1346376 
    3   230     2  0.3979255 -0.0115537  0.0932663 
    3   230     3  0.5201630  0.0291038  0.1400680 
    3   230     4  0.5178042  0.0246786  0.0977443 
    3   231     1  0.3364373  0.0109453  0.2262317 
    3   231     2  0.2465683 -0.0163319  0.2221585 
    3   231     3  0.3339255  0.0032854  0.1941636 
    3   231     4  0.2440816 -0.0238981  0.1904905 
    3   232     1  0.7815848  0.0229404  0.0314309 
    3   232     2  0.7851872  0.0405006  0.0768525 
    3   232     3  0.6610035 -0.0168414  0.0156475 
    3   232     4  0.6649028  0.0002439  0.0595350 
    3   233     1  0.8476789 -0.0358581 -0.0292421 
    3   233     2  0.9758413  0.0108871 -0.0055171 
    3   233     3  0.8555921 -0.0048047  0.0143634 
    3   233     4  0.9853684  0.0440382  0.0406450 
    3   234     1  0.8220613 -0.0080830  0.0130147 
    3   234     2  0.8115051 -0.0434158 -0.0436719 
    3   234     3  0.9901922  0.0508179  0.0405580 
    3   234     4  0.9792677  0.0143559 -0.0179265 
    3   235     1  0.7377283  0.0438081  0.0736595 
    3   235     2  0.5956558 -0.0033177  0.0549156 
    3   235     3  0.7306096  0.0210008  0.0232585 
    3   235     4  0.5875840 -0.0263745  0.0045500 
    3   236     1  0.1356404 -0.0314502  0.3025214 
    3   236     2  0.1294681 -0.0521997  0.2804769 
    3   236     3  0.1978295 -0.0120798  0.3105016 
    3   236     4  0.1913530 -0.0333397  0.2879488 
    3   237     1  0.1001399 -0.0326891  0.3783606 
    3   237     2  0.0556250 -0.0481265  0.3657323 
    3   237     3  0.0897008 -0.0676653  0.3621312 
    3   237     4  0.0451670 -0.0829500  0.3495650 
    3   238     1  0.1623482 -0.0082496  0.3347076 
    3   238     2  0.1667077  0.0066568  0.3550072 
    3   238     3  0.1045210 -0.0265755  0.3280642 
    3   238     4  0.1089419 -0.0116984  0.3482996 
    3   239     1  0.2069394 -0.0094232  0.2586180 
    3   239     2  0.2813379  0.0130468  0.2610877 
    3   239     3  0.2079569 -0.0054794  0.2852820 
    3   239     4  0.2823900  0.0169598  0.2874506 
    3   240     1  0.3542761  0.0176567  0.2427092 
    3   240     2  0.4363504  0.0418639  0.2410666 
    3   240     3  0.3487002  0.0076633  0.2723668 
    3   240     4  0.4316405  0.0321873  0.2704897 
    3   241     1  0.2787058  0.0074560  0.2767340 
    3   241     2  0.2818488  0.0124826  0.2477709 
    3   241     3  0.3586578  0.0312511  0.2765615 
    3   241     4  0.3618588  0.0363576  0.2471555 
    3   242     1  0.2327298  0.0264653  0.3407369 
    3   242     2  0.1679440  0.0066161  0.3369179 
    3   242     3  0.2326919  0.0217649  0.3166688 
    3   242     4  0.1679432  0.0019799  0.3131232 
    3   243     1  0.3013796  0.0338434  0.3058554 
    3   243     2  0.2982515  0.0308806  0.3307672 
    3   243     3  0.2295177  0.0124860  0.3041713 
    3   243     4  0.2268902  0.0096709  0.3291076 
    3   244     1  0.0779270  0.0032351  0.3843967 
    3   244     2  0.0742813 -0.0133613  0.3651216 
    3   244     3  0.1308138  0.0216891  0.3932288 
    3   244     4  0.1270887  0.0053740  0.3743168 
    3   245     1  0.0430942  0.0151802  0.4302553 
    3   245     2 -0.0071178 -0.0021212  0.4221547 
    3   245     3  0.0396585 -0.0002944  0.4121620 
    3   245     4 -0.0107718 -0.0174393  0.4043106 
    3   246     1  0.0816148  0.0155765  0.4003599 
    3   246     2  0.0825560  0.0271589  0.4211047 
    3   246     3  0.0265077 -0.0028768  0.3928426 
    3   246     4  0.0272501  0.0081503  0.4126661 
    3   247     1  0.1229671  0.0037304  0.3542794 
    3   247     2  0.1839944  0.0232734  0.3607353 
    3   247     3  0.1227242  0.0107410  0.3760425 
    3   247     4  0.1845057  0.0307091  0.3831427 
    3   248     1 -0.0015947 -0.0365020  0.4266057 
    3   248     2  0.0066736 -0.0086845  0.4423318 
    3   248     3 -0.0431763 -0.0518158  0.4160361 
    3   248     4 -0.0349299 -0.0242649  0.4316145 
    3   249     1  0.0244494 -0.0429733  0.3792944 
    3   249     2  0.0699241 -0.0258584  0.3908123 
    3   249     3  0.0325746 -0.0156128  0.3952911 
    3   249     4  0.0784768  0.0027649  0.4075492 
    3   250     1 -0.0058271 -0.0610067  0.4110375 
    3   250     2 -0.0185794 -0.1035436  0.3981523 
    3   250     3  0.0304178 -0.0455597  0.4266048 
    3   250     4  0.0175861 -0.0882729  0.4136572 
    3   251     1 -0.0256934 -0.0545066  0.4556605 
    3   251     2 -0.0575942 -0.0682588  0.4407779 
    3   251     3 -0.0381940 -0.0962301  0.4442139 
    3   251     4 -0.0700404 -0.1098020  0.4293810 
    3   252     1 -0.1039356 -0.0559430  0.4389142 
    3   252     2 -0.0663575 -0.0434298  0.4474778 
    3   252     3 -0.0965894 -0.0312325  0.4534023 
    3   252     4 -0.0589664 -0.0187371  0.4619572 
    3   253     1 -0.1026587 -0.0721925  0.4568878 
    3   253     2 -0.1140649 -0.1103718  0.4467325 
    3   253     3 -0.0749864 -0.0619894  0.4698761 
    3   253     4 -0.0865114 -0.1004862  0.4596263 
    3   254     1 -0.1178647 -0.0639704  0.4703716 
    3   254     2 -0.1438867 -0.0727846  0.4582293 
    3   254     3 -0.1289912 -0.1012121  0.4604991 
    3   254     4 -0.1549625 -0.1097804  0.4484124 
    3   255     1 -0.1255012 -0.0477061  0.4550116 
    3   255     2 -0.1180667 -0.0227067  0.4683936 
    3   255     3 -0.1600441 -0.0588337  0.4467171 
    3   255     4 -0.1526060 -0.0339454  0.4600423 
    3   256     1 -0.0840035 -0.0088201  0.4474859 
    3   256     2 -0.0863780 -0.0210697  0.4304196 
    3   256     3 -0.0380833  0.0058428  0.4529288 
    3   256     4 -0.0408902 -0.0067278  0.4355439 
    3   257     1 -0.1123446  0.0004486  0.4637496 
    3   257     2 -0.1559315 -0.0132290  0.4586141 
    3   257     3 -0.1151166 -0.0126821  0.4472594 
    3   257     4 -0.1593153 -0.0264819  0.4421437 
    3   258     1 -0.0965000  0.0050911  0.4386013 
    3   258     2 -0.0991826  0.0072967  0.4589043 
    3   258     3 -0.1500051 -0.0111153  0.4364901 
    3   258     4 -0.1527549 -0.0089323  0.4567750 
    3   259     1 -0.0613225 -0.0061450  0.4214128 
    3   259     2 -0.0087645  0.0098476  0.4240126 
    3   259     3 -0.0639832 -0.0039882  0.4425331 
    3   259     4 -0.0109838  0.0121295  0.4450885 
    3   260     1 -0.2211739 -0.0153192  0.4563772 
    3   260     2 -0.2238897 -0.0280599  0.4407930 
    3   260     3 -0.1808707 -0.0031927  0.4605418 
    3   260     4 -0.1841924 -0.0161557  0.4448436 
    3   261     1 -0.2426089 -0.0025608  0.4448411 
    3   261     2 -0.2803833 -0.0139060  0.4400683 
    3   261     3 -0.2459853 -0.0172351  0.4303878 
    3   261     4 -0.2843186 -0.0287557  0.4255366 
    3   262     1 -0.2576380 -0.0004110  0.4285010 
    3   262     2 -0.2593649  0.0040459  0.4470177 
    3   262     3 -0.3067245 -0.0151407  0.4267233 
    3   262     4 -0.3085283 -0.0107067  0.4452382 
    3   263     1 -0.2301538 -0.0130581  0.4390206 
    3   263     2 -0.1810846  0.0016701  0.4398825 
    3   263     3 -0.2329123 -0.0115052  0.4586052 
    3   263     4 -0.1839019  0.0031988  0.4594119 
    3   264     1 -0.2103652 -0.0584940  0.4411151 
    3   264     2 -0.1788510 -0.0489406  0.4487423 
    3   264     3 -0.2031428 -0.0342938  0.4534374 
    3   264     4 -0.1716419 -0.0248435  0.4610138 
    3   265     1 -0.1809354 -0.0690385  0.4468604 
    3   265     2 -0.1912938 -0.1036876  0.4376802 
    3   265     3 -0.1570756 -0.0617611  0.4578906 
    3   265     4 -0.1675212 -0.0966463  0.4486409 
    3   266     1 -0.1920490 -0.0551395  0.4340898 
    3   266     2 -0.2144948 -0.0619215  0.4235879 
    3   266     3 -0.2020067 -0.0884452  0.4253788 
    3   266     4 -0.2244980 -0.0953235  0.4148446 
    3   267     1 -0.2270435 -0.0465322  0.4301393 
    3   267     2 -0.2198459 -0.0224230  0.4414925 
    3   267     3 -0.2562522 -0.0553130  0.4225362 
    3   267     4 -0.2490431 -0.0312140  0.4338865 
    3   268     1 -0.3342190 -0.0101567  0.4110945 
    3   268     2 -0.3381147 -0.0262424  0.3977655 
    3   268     3 -0.2997682  0.0001753  0.4162233 
    3   268     4 -0.3041654 -0.0160653  0.4028158 
    3   269     1 -0.3494388  0.0038964  0.3760828 
    3   269     2 -0.3809431 -0.0055442  0.3706405 
    3   269     3 -0.3536987 -0.0129972  0.3640852 
    3   269     4 -0.3857500 -0.0226174  0.3585370 
    3   270     1 -0.3937604 -0.0000205  0.3668206 
    3   270     2 -0.3933603  0.0103639  0.3827162 
    3   270     3 -0.4363008 -0.0127748  0.3631934 
    3   270     4 -0.4360679 -0.0024488  0.3790620 
    3   271     1 -0.3743322 -0.0140824  0.4016784 
    3   271     2 -0.3300214 -0.0007901  0.4040074 
    3   271     3 -0.3752724 -0.0074599  0.4191740 
    3   271     4 -0.3310159  0.0058154  0.4214982 
    3   272     1 -0.2972257 -0.0491657  0.3923288 
    3   272     2 -0.2705740 -0.0411671  0.3998677 
    3   272     3 -0.2900811 -0.0252051  0.4026996 
    3   272     4 -0.2634097 -0.0172131  0.4102393 
    3   273     1 -0.2450144 -0.0515647  0.3901073 
    3   273     2 -0.2540767 -0.0818389  0.3819578 
    3   273     3 -0.2240101 -0.0452853  0.3996530 
    3   273     4 -0.2331084 -0.0756566  0.3914745 
    3   274     1 -0.2529248 -0.0334848  0.3563639 
    3   274     2 -0.2723547 -0.0393225  0.3475817 
    3   274     3 -0.2612784 -0.0613365  0.3488151 
    3   274     4 -0.2807950 -0.0672889  0.3399805 
    3   275     1 -0.3092103 -0.0336067  0.3592537 
    3   275     2 -0.3024909 -0.0110118  0.3684550 
    3   275     3 -0.3329122 -0.0407051  0.3521370 
    3   275     4 -0.3262388 -0.0181430  0.3613178 
    3   276     1 -0.2686476 -0.0037828  0.4499651 
    3   276     2 -0.3292246 -0.0219528  0.4517145 
    3   276     3 -0.2600954  0.0038228  0.4264741 
    3   276     4 -0.3186375 -0.0137367  0.4281645 
    3   277     1 -0.2585290 -0.0081290  0.4261299 
    3   277     2 -0.2689083 -0.0258395  0.4534356 
    3   277     3 -0.3255932 -0.0282392  0.4310122 
    3   277     4 -0.3357332 -0.0458778  0.4583001 
    3   278     1 -0.2200150 -0.0275636  0.4339023 
    3   278     2 -0.1479251 -0.0059858  0.4277346 
    3   278     3 -0.2317638 -0.0487268  0.4618346 
    3   278     4 -0.1601059 -0.0272345  0.4556371 
    3   279     1 -0.2371158 -0.0228652  0.4606745 
    3   279     2 -0.2277508 -0.0120450  0.4368931 
    3   279     3 -0.1774928 -0.0050000  0.4579990 
    3   279     4 -0.1666474  0.0062838  0.4340925 
    3   280     1 -0.4302397 -0.0276452  0.4133778 
    3   280     2 -0.3605081 -0.0067240  0.4096825 
    3   280     3 -0.4388889 -0.0405602  0.4398987 
    3   280     4 -0.3690575 -0.0196071  0.4361932 
    3   281     1 -0.4109351 -0.0175911  0.4291489 
    3   281     2 -0.4038123 -0.0140231  0.4065472 
    3   281     3 -0.3536174 -0.0003955  0.4286564 
    3   281     4 -0.3445094  0.0037682  0.4060346 
    3   282     1 -0.4332303  0.0060234  0.3919115 
    3   282     2 -0.4900078 -0.0110087  0.3909172 
    3   282     3 -0.4279509  0.0047508  0.3702818 
    3   282     4 -0.4833366 -0.0118654  0.3692996 
    3   283     1 -0.4604055 -0.0031671  0.3784534 
    3   283     2 -0.4676344 -0.0113551  0.4037547 
    3   283     3 -0.5230775 -0.0219714  0.3804845 
    3   283     4 -0.5308067 -0.0303058  0.4057862 
    3   284     1 -0.4631026 -0.0787712  0.4510801 
    3   284     2 -0.4570620 -0.0568927  0.4218605 
    3   284     3 -0.3859285 -0.0556125  0.4439497 
    3   284     4 -0.3814774 -0.0342096  0.4148750 
    3   285     1 -0.5015253 -0.0430258  0.4168370 
    3   285     2 -0.5720732 -0.0642103  0.4216000 
    3   285     3 -0.4972569 -0.0277389  0.3887003 
    3   285     4 -0.5687749 -0.0491955  0.3934906 
    3   286     1 -0.5287412 -0.0667656  0.4009685 
    3   286     2 -0.5362202 -0.0981629  0.4338523 
