Výsledky

Výpočtový krok 1

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 3.11.2010 15:31:27
-----------------------------------------------------------------------------
Output data for request: STRESS
Description: Stress
  Step: 1  Iteration: 2 at Time: 1
-----------------------------------------------------------------------------------------------
Group Elem.    IP   sigma_xx   sigma_yy     tau_xy 
Units                    MPa        MPa        MPa 
    1    28     4  1.2497740 -0.0251905  0.0302112 
    1    29     1  1.2224153 -0.0339034  0.0405549 
    1    29     2  1.2051761 -0.0392264  0.0418266 
    1    29     3  1.2224850 -0.0315124  0.0342764 
    1    29     4  1.2057714 -0.0366542  0.0354593 
    1    30     1  1.2230957 -0.0320459  0.0295035 
    1    30     2  1.2235054 -0.0327793  0.0357164 
    1    30     3  1.2072767 -0.0368344  0.0301083 
    1    30     4  1.2071767 -0.0376911  0.0361153 
    1    31     1  1.2325291 -0.0327939  0.0295584 
    1    31     2  1.2464185 -0.0283729  0.0281803 
    1    31     3  1.2327718 -0.0344504  0.0345344 
    1    31     4  1.2470193 -0.0301008  0.0336553 
    1    32     1  1.2337787 -0.0333444  0.0357434 
    1    32     2  1.2538733 -0.0272788  0.0350099 
    1    32     3  1.2332908 -0.0350769  0.0435406 
    1    32     4  1.2519412 -0.0293129  0.0422002 
    1    33     1  1.2306532 -0.0328324  0.0469544 
    1    33     2  1.2307387 -0.0324870  0.0402722 
    1    33     3  1.2472942 -0.0278437  0.0469199 
    1    33     4  1.2478679 -0.0273494  0.0401825 
    1    34     1  1.2192387 -0.0321520  0.0490347 
    1    34     2  1.2001208 -0.0379303  0.0497781 
    1    34     3  1.2195604 -0.0305845  0.0420029 
    1    34     4  1.2005705 -0.0362928  0.0425916 
    1    35     1  1.2211852 -0.0309895  0.0374387 
    1    35     2  1.2211476 -0.0325691  0.0440414 
    1    35     3  1.2037310 -0.0362871  0.0382538 
    1    35     4  1.2033397 -0.0379877  0.0449311 
    1    36     1  1.2798900 -0.0271236  0.0271366 
    1    36     2  1.2814319 -0.0297716  0.0234760 
    1    36     3  1.2903100 -0.0231646  0.0292701 
    1    36     4  1.2923728 -0.0257134  0.0255948 
    1    37     1  1.2696715 -0.0263045  0.0304677 
    1    37     2  1.2571656 -0.0303712  0.0290046 
    1    37     3  1.2717268 -0.0275959  0.0255890 
    1    37     4  1.2582336 -0.0318790  0.0242838 
    1    38     1  1.2778378 -0.0273330  0.0229498 
    1    38     2  1.2753319 -0.0226133  0.0268433 
    1    38     3  1.2658336 -0.0323973  0.0198730 
    1    38     4  1.2645857 -0.0281477  0.0233031 
    1    39     1  1.2903591 -0.0296412  0.0205741 
    1    39     2  1.2988385 -0.0258001  0.0230260 
    1    39     3  1.2887740 -0.0258982  0.0229805 
    1    39     4  1.2976336 -0.0216978  0.0256626 
    1    40     1  1.2378495 -0.0353951  0.0211774 
    1    40     2  1.2557378 -0.0299054  0.0222660 
    1    40     3  1.2372001 -0.0341603  0.0274880 
    1    40     4  1.2530161 -0.0293851  0.0281025 
    1    41     1  1.2338787 -0.0333217  0.0304211 
    1    41     2  1.2341963 -0.0341875  0.0252151 
    1    41     3  1.2478282 -0.0290546  0.0312135 
    1    41     4  1.2488121 -0.0297810  0.0256956 
    1    42     1  1.2244675 -0.0325583  0.0323087 
    1    42     2  1.2091069 -0.0371686  0.0321661 
    1    42     3  1.2248001 -0.0325993  0.0264563 
    1    42     4  1.2091600 -0.0372916  0.0263872 
    1    43     1  1.2267657 -0.0329472  0.0225457 
    1    43     2  1.2263170 -0.0339371  0.0283893 
    1    43     3  1.2109759 -0.0376659  0.0227333 
    1    43     4  1.2106494 -0.0386190  0.0285733 
    1    44     1  1.2278050 -0.0358469  0.0246747 
    1    44     2  1.2117895 -0.0406504  0.0250079 
    1    44     3  1.2278750 -0.0349197  0.0189372 
    1    44     4  1.2120297 -0.0396582  0.0191786 
    1    45     1  1.2280874 -0.0356372  0.0136256 
    1    45     2  1.2288849 -0.0346128  0.0193497 
    1    45     3  1.2127404 -0.0402419  0.0133365 
    1    45     4  1.2131353 -0.0393503  0.0189656 
    1    46     1  1.2378430 -0.0349025  0.0135301 
    1    46     2  1.2516777 -0.0306487  0.0126516 
    1    46     3  1.2383284 -0.0358896  0.0185823 
    1    46     4  1.2529513 -0.0314535  0.0179224 
    1    47     1  1.2393006 -0.0371308  0.0235107 
    1    47     2  1.2390589 -0.0342610  0.0171378 
    1    47     3  1.2575716 -0.0314054  0.0218581 
    1    47     4  1.2552671 -0.0293578  0.0160534 
    1    48     1  1.2941618 -0.0261145  0.0212582 
    1    48     2  1.2969863 -0.0287742  0.0185237 
    1    48     3  1.3041905 -0.0223604  0.0233585 
    1    48     4  1.3053019 -0.0252516  0.0206319 
    1    49     1  1.2880738 -0.0203093  0.0200496 
    1    49     2  1.2862077 -0.0290125  0.0184823 
    1    49     3  1.2845271 -0.0293065  0.0227744 
    1    49     4  1.2840002 -0.0336713  0.0208898 
    1    50     1  1.2954603 -0.0279226  0.0173221 
    1    50     2  1.3105516 -0.0234090  0.0168899 
    1    50     3  1.2985312 -0.0282199  0.0222708 
    1    50     4  1.3095255 -0.0247089  0.0210329 
    1    51     1  1.2813973 -0.0279628  0.0189318 
    1    51     2  1.2674738 -0.0337992  0.0224316 
    1    51     3  1.2785759 -0.0229618  0.0144420 
    1    51     4  1.2659457 -0.0291904  0.0184022 
    1    52     1  1.2737430 -0.0263411  0.0112997 
    1    52     2  1.2761464 -0.0288728  0.0158091 
    1    52     3  1.2611758 -0.0307695  0.0133971 
    1    52     4  1.2623030 -0.0336412  0.0179599 
    1    53     1  1.2843895 -0.0272405  0.0136904 
    1    53     2  1.2942838 -0.0223635  0.0105819 
    1    53     3  1.2859833 -0.0318056  0.0166905 
    1    53     4  1.2966950 -0.0266527  0.0134084 
    1    54     1  1.2944166 -0.0315069  0.0194855 
    1    54     2  1.2924050 -0.0257792  0.0165846 
    1    54     3  1.3055792 -0.0257595  0.0157233 
    1    54     4  1.3031642 -0.0206750  0.0131888 
    1    55     1  1.2804718 -0.0321988  0.0135526 
    1    55     2  1.2790454 -0.0282475  0.0111008 
    1    55     3  1.2884899 -0.0272996  0.0104288 
    1    55     4  1.2860951 -0.0246480  0.0087958 
    1    56     1  1.2716236 -0.0286146  0.0140746 
    1    56     2  1.2592503 -0.0322065  0.0140976 
    1    56     3  1.2697957 -0.0279009  0.0095665 
    1    56     4  1.2595426 -0.0310882  0.0103501 
    1    57     1  1.2737032 -0.0286657  0.0096774 
    1    57     2  1.2712398 -0.0241175  0.0097063 
    1    57     3  1.2669664 -0.0332983  0.0064187 
    1    57     4  1.2667573 -0.0288121  0.0072229 
    1    58     1  1.2405538 -0.0359617  0.0056850 
    1    58     2  1.2583682 -0.0302560  0.0075927 
    1    58     3  1.2399921 -0.0332749  0.0113751 
    1    58     4  1.2551968 -0.0284889  0.0128351 
    1    59     1  1.2377498 -0.0340405  0.0141918 
    1    59     2  1.2377711 -0.0352810  0.0094287 
    1    59     3  1.2515520 -0.0297735  0.0151596 
    1    59     4  1.2516855 -0.0310934  0.0099686 
    1    60     1  1.2289648 -0.0326352  0.0153639 
    1    60     2  1.2142412 -0.0371244  0.0144862 
    1    60     3  1.2287260 -0.0344943  0.0100366 
    1    60     4  1.2137509 -0.0390358  0.0092160 
    1    61     1  1.2297171 -0.0333061  0.0061756 
    1    61     2  1.2294257 -0.0331930  0.0117848 
    1    61     3  1.2136353 -0.0381399  0.0058373 
    1    61     4  1.2136055 -0.0379479  0.0114595 
    1    62     1  1.2414692 -0.0358848  0.0085890 
    1    62     2  1.2412872 -0.0349696  0.0020627 
    1    62     3  1.2601960 -0.0302407  0.0080389 
    1    62     4  1.2583523 -0.0298959  0.0020297 
    1    63     1  1.2300052 -0.0340429  0.0084510 
    1    63     2  1.2145399 -0.0386887  0.0082232 
    1    63     3  1.2300700 -0.0342915  0.0031400 
    1    63     4  1.2144924 -0.0389753  0.0028236 
