Výsledky

Výpočtový krok 1

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 3.11.2010 15:31:49
-----------------------------------------------------------------------------
Output data for request: PRINCIPAL_STRESS
Description: Principal Stress
  Step: 1  Iteration: 2 at Time: 1
-----------------------------------------------------------------------------------------------
Group Elem.    IP       Max.       Min.     vmax_x     vmax_y     vmin_x     vmin_y 
Units                    MPa        MPa          m          m          m          m 
    2   102     3  1.6408979 -0.0004272  0.9999996  0.0009441 -0.0009441  0.9999996 
    2   102     4  1.6398210 -0.0020163  0.9999994 -0.0010847  0.0010847  0.9999994 
    2   103     1  1.6682202 -0.0025133  0.9999967 -0.0025764  0.0025764  0.9999967 
    2   103     2  1.6865800  0.0032382  0.9999920 -0.0039967  0.0039967  0.9999920 
    2   103     3  1.6763423 -0.0008052  0.9999996  0.0008909 -0.0008909  0.9999996 
    2   103     4  1.6875303  0.0029046  0.9999996 -0.0009051  0.0009051  0.9999996 
    2   104     1  1.6592794 -0.0031690  1.0000000 -0.0002150  0.0002150  1.0000000 
    2   104     2  1.6744248  0.0121031  0.9999584 -0.0091167  0.0091167  0.9999584 
    2   104     3  1.7031305  0.0108446  0.9999933 -0.0036491  0.0036491  0.9999933 
    2   104     4  1.7093931  0.0226467  0.9999357 -0.0113362  0.0113362  0.9999357 
    2   105     1  1.5831118  0.0103908  0.9999652  0.0083475 -0.0083475  0.9999652 
    2   105     2  1.5799706  0.0129189  0.9999530  0.0096905 -0.0096905  0.9999530 
    2   105     3  1.5736662  0.0059219  0.9999785  0.0065612 -0.0065612  0.9999785 
    2   105     4  1.5733595  0.0089482  0.9999678  0.0080293 -0.0080293  0.9999678 
    2   106     1  1.5869507  0.0037238  0.9999705  0.0076793 -0.0076793  0.9999705 
    2   106     2  1.5772202  0.0247892  0.9999992  0.0012614 -0.0012614  0.9999992 
    2   106     3  1.6108082  0.0208854  0.9999995  0.0010048 -0.0010048  0.9999995 
    2   106     4  1.6014465  0.0340698  0.9999957 -0.0029249  0.0029249  0.9999957 
    2   107     1  1.5734226  0.0160158  0.9998898  0.0148446 -0.0148446  0.9998898 
    2   107     2  1.5586448  0.0119617  0.9998909  0.0147724 -0.0147724  0.9998909 
    2   107     3  1.5695161  0.0169380  0.9999319  0.0116682 -0.0116682  0.9999319 
    2   107     4  1.5574705  0.0133801  0.9999280  0.0119973 -0.0119973  0.9999280 
    2   108     1  1.5427119 -0.0049436  0.9998461  0.0175429 -0.0175429  0.9998461 
    2   108     2  1.5404206  0.0004250  0.9999327  0.0115994 -0.0115994  0.9999327 
    2   108     3  1.5696644  0.0039200  0.9998832  0.0152850 -0.0152850  0.9998832 
    2   108     4  1.5647430  0.0080989  0.9999510  0.0098960 -0.0098960  0.9999510 
    2   109     1  1.5264433  0.0029575  0.9997628  0.0217799 -0.0217799  0.9997628 
    2   109     2  1.4999389 -0.0051546  0.9997390  0.0228477 -0.0228477  0.9997390 
    2   109     3  1.5250334  0.0053868  0.9998793  0.0155345 -0.0155345  0.9998793 
    2   109     4  1.5005811 -0.0023459  0.9998543  0.0170681 -0.0170681  0.9998543 
    2   110     1  1.5321952  0.0031986  0.9998893  0.0148764 -0.0148764  0.9998893 
    2   110     2  1.5320040  0.0011731  0.9997948  0.0202560 -0.0202560  0.9997948 
    2   110     3  1.5105523 -0.0032913  0.9998827  0.0153130 -0.0153130  0.9998827 
    2   110     4  1.5092455 -0.0056245  0.9997863  0.0206722 -0.0206722  0.9997863 
    2   111     1  1.5440408 -0.0018357  0.9999324  0.0116299 -0.0116299  0.9999324 
    2   111     2  1.5651977  0.0048044  0.9999453  0.0104548 -0.0104548  0.9999453 
    2   111     3  1.5441768 -0.0044842  0.9998616  0.0166353 -0.0166353  0.9998616 
    2   111     4  1.5661836  0.0022210  0.9998755  0.0157797 -0.0157797  0.9998755 
    2   112     1  1.5230376  0.0064852  0.9998553  0.0170103 -0.0170103  0.9998553 
    2   112     2  1.5264593  0.0010210  0.9997679  0.0215435 -0.0215435  0.9997679 
    2   112     3  1.4974800 -0.0027571  0.9997971  0.0201447 -0.0201447  0.9997971 
    2   112     4  1.5056730 -0.0064916  0.9997100  0.0240803 -0.0240803  0.9997100 
    2   113     1  1.5370786  0.0012601  0.9999248  0.0122608 -0.0122608  0.9999248 
    2   113     2  1.5622232  0.0087572  0.9999281  0.0119921 -0.0119921  0.9999281 
    2   113     3  1.5391024  0.0001613  0.9998425  0.0177484 -0.0177484  0.9998425 
    2   113     4  1.5604916  0.0066438  0.9998528  0.0171577 -0.0171577  0.9998528 
    2   114     1  1.5360436  0.0041124  0.9997982  0.0200902 -0.0200902  0.9997982 
    2   114     2  1.5334092  0.0032200  0.9998589  0.0167966 -0.0167966  0.9998589 
    2   114     3  1.5505595  0.0084699  0.9997954  0.0202270 -0.0202270  0.9997954 
    2   114     4  1.5487620  0.0078256  0.9998584  0.0168264 -0.0168264  0.9998584 
    2   115     1  1.5284588  0.0028249  0.9997325  0.0231295 -0.0231295  0.9997325 
    2   115     2  1.5113879 -0.0023725  0.9997134  0.0239413 -0.0239413  0.9997134 
    2   115     3  1.5249252  0.0021304  0.9998102  0.0194839 -0.0194839  0.9998102 
    2   115     4  1.5061133 -0.0035384  0.9998028  0.0198598 -0.0198598  0.9998028 
    2   116     1  1.4790451 -0.0045366  0.9996970  0.0246163 -0.0246163  0.9996970 
    2   116     2  1.4869974  0.0014739  0.9997551  0.0221318 -0.0221318  0.9997551 
    2   116     3  1.4846204 -0.0063309  0.9997086  0.0241387 -0.0241387  0.9997086 
    2   116     4  1.4888663 -0.0014764  0.9997475  0.0224716 -0.0224716  0.9997475 
    2   117     1  1.4864201 -0.0057416  0.9996362  0.0269698 -0.0269698  0.9996362 
    2   117     2  1.4856742 -0.0042838  0.9997213  0.0236069 -0.0236069  0.9997213 
    2   117     3  1.5020440 -0.0005610  0.9996743  0.0255191 -0.0255191  0.9996743 
    2   117     4  1.4992525 -0.0000910  0.9997363  0.0229645 -0.0229645  0.9997363 
    2   118     1  1.4736834 -0.0037973  0.9995573  0.0297515 -0.0297515  0.9995573 
    2   118     2  1.4603135 -0.0083168  0.9995952  0.0284521 -0.0284521  0.9995952 
    2   118     3  1.4741245 -0.0057753  0.9996404  0.0268138 -0.0268138  0.9996404 
    2   118     4  1.4625220 -0.0093156  0.9996562  0.0262206 -0.0262206  0.9996562 
    2   119     1  1.4756407 -0.0057250  0.9998072  0.0196367 -0.0196367  0.9998072 
    2   119     2  1.4967252  0.0005701  0.9998068  0.0196552 -0.0196552  0.9998068 
    2   119     3  1.4735003 -0.0071801  0.9996904  0.0248823 -0.0248823  0.9996904 
    2   119     4  1.4952498 -0.0006992  0.9996893  0.0249246 -0.0249246  0.9996893 
    2   120     1  1.4639776 -0.0075850  0.9996321  0.0271241 -0.0271241  0.9996321 
    2   120     2  1.4663461 -0.0071337  0.9997680  0.0215411 -0.0215411  0.9997680 
    2   120     3  1.4868123 -0.0007221  0.9996208  0.0275360 -0.0275360  0.9996208 
    2   120     4  1.4874546 -0.0007544  0.9997478  0.0224561 -0.0224561  0.9997478 
    2   121     1  1.4472569 -0.0037964  0.9994811  0.0322102 -0.0322102  0.9994811 
    2   121     2  1.4282023 -0.0095406  0.9994942  0.0318031 -0.0318031  0.9994942 
    2   121     3  1.4493940 -0.0036535  0.9996221  0.0274905 -0.0274905  0.9996221 
    2   121     4  1.4297400 -0.0095845  0.9996343  0.0270410 -0.0270410  0.9996343 
    2   122     1  1.4609536 -0.0025167  0.9997023  0.0243980 -0.0243980  0.9997023 
    2   122     2  1.4588553 -0.0032826  0.9995644  0.0295117 -0.0295117  0.9995644 
    2   122     3  1.4404718 -0.0086552  0.9997107  0.0240541 -0.0240541  0.9997107 
    2   122     4  1.4380965 -0.0094965  0.9995743  0.0291770 -0.0291770  0.9995743 
    2   123     1  1.4541357 -0.0079950  0.9996733  0.0255590 -0.0255590  0.9996733 
    2   123     2  1.4693669 -0.0025129  0.9996230  0.0274573 -0.0274573  0.9996230 
    2   123     3  1.4521747 -0.0046905  0.9995958  0.0284280 -0.0284280  0.9995958 
    2   123     4  1.4644582 -0.0003063  0.9995519  0.0299333 -0.0299333  0.9995519 
    2   124     1  1.4383878 -0.0073433  0.9994966  0.0317260 -0.0317260  0.9994966 
    2   124     2  1.4406427 -0.0065418  0.9995690  0.0293577 -0.0293577  0.9995690 
    2   124     3  1.4483528 -0.0043755  0.9994859  0.0320610 -0.0320610  0.9994859 
    2   124     4  1.4516896 -0.0032307  0.9995682  0.0293827 -0.0293827  0.9995682 
    2   125     1  1.4268347 -0.0063721  0.9993381  0.0363773 -0.0363773  0.9993381 
    2   125     2  1.4118999 -0.0108574  0.9993433  0.0362351 -0.0362351  0.9993433 
    2   125     3  1.4296028 -0.0058282  0.9994835  0.0321354 -0.0321354  0.9994835 
    2   125     4  1.4129354 -0.0108238  0.9994843  0.0321127 -0.0321127  0.9994843 
    2   126     1  1.4405788 -0.0037722  0.9995608  0.0296346 -0.0296346  0.9995608 
    2   126     2  1.4378732 -0.0048709  0.9994098  0.0343510 -0.0343510  0.9994098 
    2   126     3  1.4210500 -0.0096192  0.9995655  0.0294767 -0.0294767  0.9995655 
    2   126     4  1.4195852 -0.0103410  0.9994150  0.0341997 -0.0341997  0.9994150 
    2   127     1  1.3922749 -0.0137863  0.9993127  0.0370681 -0.0370681  0.9993127 
    2   127     2  1.3932329 -0.0117431  0.9995000  0.0316184 -0.0316184  0.9995000 
    2   127     3  1.4137794 -0.0073498  0.9993289  0.0366290 -0.0366290  0.9993289 
    2   127     4  1.4156452 -0.0049909  0.9995177  0.0310542 -0.0310542  0.9995177 
    2   128     1  1.3763373 -0.0095105  0.9991255  0.0418109 -0.0418109  0.9991255 
    2   128     2  1.3505949 -0.0172458  0.9991023  0.0423638 -0.0423638  0.9991023 
    2   128     3  1.3773931 -0.0073476  0.9993922  0.0348613 -0.0348613  0.9993922 
    2   128     4  1.3524076 -0.0150598  0.9993459  0.0361636 -0.0361636  0.9993459 
    2   129     1  1.3876983 -0.0090258  0.9994416  0.0334147 -0.0334147  0.9994416 
    2   129     2  1.3851634 -0.0092851  0.9992363  0.0390746 -0.0390746  0.9992363 
    2   129     3  1.3656384 -0.0156785  0.9994583  0.0329101 -0.0329101  0.9994583 
    2   129     4  1.3628830 -0.0160062  0.9992594  0.0384803 -0.0384803  0.9992594 
    2   130     1  1.4035586 -0.0120567  0.9995933  0.0285185 -0.0285185  0.9995933 
    2   130     2  1.4249320 -0.0056430  0.9995869  0.0287414 -0.0287414  0.9995869 
    2   130     3  1.4010294 -0.0128186  0.9994276  0.0338287 -0.0338287  0.9994276 
    2   130     4  1.4224338 -0.0064015  0.9994155  0.0341853 -0.0341853  0.9994155 
    2   131     1  1.3730028 -0.0068646  0.9993124  0.0370781 -0.0370781  0.9993124 
    2   131     2  1.3746566 -0.0132661  0.9990995  0.0424285 -0.0424285  0.9990995 
    2   131     3  1.3470851 -0.0164122  0.9991703  0.0407265 -0.0407265  0.9991703 
    2   131     4  1.3541344 -0.0206656  0.9989789  0.0451796 -0.0451796  0.9989789 
    2   132     1  1.3865411 -0.0128511  0.9994375  0.0335359 -0.0335359  0.9994375 
    2   132     2  1.4077389 -0.0064335  0.9994568  0.0329558 -0.0329558  0.9994568 
    2   132     3  1.3872285 -0.0137630  0.9992508  0.0387023 -0.0387023  0.9992508 
    2   132     4  1.4069690 -0.0077954  0.9992702  0.0381986 -0.0381986  0.9992702 
    2   133     1  1.3833850 -0.0146444  0.9991594  0.0409934 -0.0409934  0.9991594 
    2   133     2  1.3825200 -0.0106724  0.9993566  0.0358670 -0.0358670  0.9993566 
    2   133     3  1.4014915 -0.0089808  0.9992115  0.0397048 -0.0397048  0.9992115 
    2   133     4  1.4027504 -0.0044349  0.9994028  0.0345541 -0.0345541  0.9994028 
    2   134     1  1.3742713 -0.0117441  0.9990604  0.0433406 -0.0433406  0.9990604 
    2   134     2  1.3584854 -0.0169560  0.9989958  0.0448045 -0.0448045  0.9989958 
    2   134     3  1.3722653 -0.0100903  0.9992227  0.0394219 -0.0394219  0.9992227 
    2   134     4  1.3548947 -0.0155127  0.9991803  0.0404823 -0.0404823  0.9991803 
    2   135     1  1.3283564 -0.0179729  0.9989679  0.0454215 -0.0454215  0.9989679 
    2   135     2  1.3363163 -0.0113499  0.9990965  0.0424993 -0.0424993  0.9990965 
    2   135     3  1.3335265 -0.0203301  0.9989960  0.0448002 -0.0448002  0.9989960 
    2   135     4  1.3378704 -0.0149152  0.9990808  0.0428678 -0.0428678  0.9990808 
    2   136     1  1.3350617 -0.0195382  0.9988328  0.0483007 -0.0483007  0.9988328 
    2   136     2  1.3348448 -0.0169659  0.9990057  0.0445832 -0.0445832  0.9990057 
    2   136     3  1.3496527 -0.0143639  0.9989213  0.0464361 -0.0464361  0.9989213 
    2   136     4  1.3475856 -0.0129138  0.9990486  0.0436108 -0.0436108  0.9990486 
    2   137     1  1.3228130 -0.0169398  0.9986799  0.0513660 -0.0513660  0.9986799 
    2   137     2  1.3087252 -0.0215943  0.9987501  0.0499817 -0.0499817  0.9987501 
    2   137     3  1.3232397 -0.0187374  0.9988676  0.0475774 -0.0475774  0.9988676 
    2   137     4  1.3107909 -0.0225002  0.9988927  0.0470463 -0.0470463  0.9988927 
    2   138     1  1.3271227 -0.0196246  0.9993010  0.0373833 -0.0373833  0.9993010 
    2   138     2  1.3488873 -0.0129918  0.9992700  0.0382025 -0.0382025  0.9992700 
    2   138     3  1.3241694 -0.0193307  0.9990823  0.0428314 -0.0428314  0.9990823 
    2   138     4  1.3462689 -0.0125819  0.9990427  0.0437461 -0.0437461  0.9990427 
    2   139     1  1.3117013 -0.0215115  0.9988723  0.0474786 -0.0474786  0.9988723 
    2   139     2  1.3136399 -0.0219624  0.9991590  0.0410031 -0.0410031  0.9991590 
    2   139     3  1.3358539 -0.0141804  0.9988317  0.0483248 -0.0483248  0.9988317 
    2   139     4  1.3370681 -0.0147522  0.9991018  0.0423742 -0.0423742  0.9991018 
    2   140     1  1.2937331 -0.0188759  0.9985466  0.0538948 -0.0538948  0.9985466 
    2   140     2  1.2709065 -0.0257258  0.9985560  0.0537214 -0.0537214  0.9985560 
    2   140     3  1.2951837 -0.0185831  0.9988515  0.0479142 -0.0479142  0.9988515 
    2   140     4  1.2705801 -0.0259734  0.9988677  0.0475746 -0.0475746  0.9988677 
    2   141     1  1.3066131 -0.0162658  0.9990530  0.0435098 -0.0435098  0.9990530 
    2   141     2  1.3034292 -0.0170837  0.9987263  0.0504561 -0.0504561  0.9987263 
    2   141     3  1.2790657 -0.0245458  0.9990772  0.0429502 -0.0429502  0.9990772 
    2   141     4  1.2781094 -0.0246890  0.9987772  0.0494386 -0.0494386  0.9987772 
    2   142     1  1.3011590 -0.0225871  0.9989414  0.0460002 -0.0460002  0.9989414 
    2   142     2  1.3183558 -0.0164184  0.9988312  0.0483352 -0.0483352  0.9988312 
    2   142     3  1.2998644 -0.0186312  0.9987643  0.0496979 -0.0496979  0.9987643 
    2   142     4  1.3133282 -0.0138383  0.9986731  0.0514974 -0.0514974  0.9986731 
    2   143     1  1.2873543 -0.0206567  0.9985522  0.0537915 -0.0537915  0.9985522 
    2   143     2  1.2889937 -0.0195133  0.9987106  0.0507654 -0.0507654  0.9987106 
    2   143     3  1.2977918 -0.0176194  0.9985393  0.0540299 -0.0540299  0.9985393 
    2   143     4  1.3008269 -0.0159690  0.9987192  0.0505958 -0.0505958  0.9987192 
    2   144     1  1.2773791 -0.0201620  0.9982411  0.0592852 -0.0592852  0.9982411 
    2   144     2  1.2621635 -0.0247308  0.9982505  0.0591268 -0.0591268  0.9982505 
    2   144     3  1.2780546 -0.0204880  0.9985388  0.0540400 -0.0540400  0.9985388 
    2   144     4  1.2603553 -0.0257809  0.9985389  0.0540383 -0.0540383  0.9985389 
    2   145     1  1.2873938 -0.0184798  0.9987054  0.0508678 -0.0508678  0.9987054 
    2   145     2  1.2862487 -0.0193158  0.9983953  0.0566295 -0.0566295  0.9983953 
    2   145     3  1.2650369 -0.0251703  0.9987097  0.0507834 -0.0507834  0.9987097 
    2   145     4  1.2661362 -0.0253313  0.9983975  0.0565894 -0.0565894  0.9983975 
    2   146     1  1.2315265 -0.0318719  0.9987376  0.0502309 -0.0502309  0.9987376 
    2   146     2  1.2628145 -0.0220933  0.9988389  0.0481757 -0.0481757  0.9988389 
    2   146     3  1.2330856 -0.0351976  0.9983282  0.0577989 -0.0577989  0.9983282 
    2   146     4  1.2620997 -0.0256194  0.9984931  0.0548774 -0.0548774  0.9984931 
    2   147     1  1.2316081 -0.0320922  0.9981554  0.0607111 -0.0607111  0.9981554 
    2   147     2  1.2287212 -0.0297948  0.9985115  0.0545419 -0.0545419  0.9985115 
    2   147     3  1.2562148 -0.0245092  0.9982416  0.0592771 -0.0592771  0.9982416 
    2   147     4  1.2554230 -0.0216109  0.9985893  0.0530987 -0.0530987  0.9985893 
    2   148     1  1.2153486 -0.0312168  0.9978492  0.0655520 -0.0655520  0.9978492 
    2   148     2  1.1812982 -0.0418829  0.9976934  0.0678807 -0.0678807  0.9976934 
    2   148     3  1.2120298 -0.0294995  0.9982478  0.0591716 -0.0591716  0.9982478 
    2   148     4  1.1798453 -0.0393894  0.9981438  0.0609009 -0.0609009  0.9981438 
    2   149     1  1.2125508 -0.0284910  0.9984952  0.0548399 -0.0548399  0.9984952 
    2   149     2  1.2139156 -0.0319893  0.9981594  0.0606448 -0.0606448  0.9981594 
    2   149     3  1.1853260 -0.0372880  0.9983537  0.0573569 -0.0573569  0.9983537 
    2   149     4  1.1857197 -0.0413348  0.9979750  0.0636071 -0.0636071  0.9979750 
    2   150     1  1.2327792 -0.0366048  0.9985075  0.0546153 -0.0546153  0.9985075 
    2   150     2  1.2301972 -0.0286686  0.9987893  0.0491933 -0.0491933  0.9987893 
    2   150     3  1.2618680 -0.0243869  0.9988048  0.0488777 -0.0488777  0.9988048 
    2   150     4  1.2544607 -0.0189832  0.9990000  0.0447096 -0.0447096  0.9990000 
    2   151     1  1.2154717 -0.0313884  0.9983411  0.0575757 -0.0575757  0.9983411 
    2   151     2  1.1890726 -0.0405264  0.9981434  0.0609071 -0.0609071  0.9981434 
    2   151     3  1.2141220 -0.0275188  0.9986464  0.0520128 -0.0520128  0.9986464 
    2   151     4  1.1888566 -0.0360498  0.9984905  0.0549255 -0.0549255  0.9984905 
    2   152     1  1.2151031 -0.0257246  0.9988128  0.0487131 -0.0487131  0.9988128 
    2   152     2  1.2157871 -0.0318017  0.9985345  0.0541184 -0.0541184  0.9985345 
    2   152     3  1.1917052 -0.0343053  0.9986288  0.0523508 -0.0523508  0.9986288 
    2   152     4  1.1911719 -0.0408478  0.9983191  0.0579562 -0.0579562  0.9983191 
    2   153     1  1.2285021 -0.0306020  0.9988655  0.0476209 -0.0476209  0.9988655 
    2   153     2  1.2495693 -0.0221942  0.9990391  0.0438285 -0.0438285  0.9990391 
    2   153     3  1.2295995 -0.0362033  0.9986376  0.0521811 -0.0521811  0.9986376 
    2   153     4  1.2515508 -0.0278629  0.9988195  0.0485754 -0.0485754  0.9988195 
    2   154     1  1.2851610 -0.0222772  0.9990456  0.0436793 -0.0436793  0.9990456 
    2   154     2  1.2769856 -0.0305649  0.9988790  0.0473363 -0.0473363  0.9988790 
    2   154     3  1.2808786 -0.0186655  0.9989826  0.0450967 -0.0450967  0.9989826 
    2   154     4  1.2759395 -0.0257768  0.9988736  0.0474495 -0.0474495  0.9988736 
    2   155     1  1.2801234 -0.0203307  0.9991953  0.0401096 -0.0401096  0.9991953 
    2   155     2  1.2790569 -0.0245959  0.9989980  0.0447556 -0.0447556  0.9989980 
    2   155     3  1.2618290 -0.0272299  0.9990755  0.0429909 -0.0429909  0.9990755 
    2   155     4  1.2632990 -0.0299544  0.9989158  0.0465534 -0.0465534  0.9989158 
    2   156     1  1.2945763 -0.0233126  0.9993006  0.0373939 -0.0373939  0.9993006 
    2   156     2  1.3102189 -0.0188734  0.9992719  0.0381542 -0.0381542  0.9992719 
    2   156     3  1.2920153 -0.0251516  0.9991267  0.0417834 -0.0417834  0.9991267 
    2   156     4  1.3061389 -0.0209661  0.9991298  0.0417087 -0.0417087  0.9991298 
    2   157     1  1.3178369 -0.0156832  0.9990056  0.0445852 -0.0445852  0.9990056 
    2   157     2  1.2986571 -0.0225955  0.9991191  0.0419635 -0.0419635  0.9991191 
    2   157     3  1.3215321 -0.0191991  0.9991682  0.0407794 -0.0407794  0.9991682 
    2   157     4  1.3056829 -0.0248286  0.9992511  0.0386935 -0.0386935  0.9992511 
    2   158     1  1.3402903 -0.0172787  0.9993586  0.0358118 -0.0358118  0.9993586 
    2   158     2  1.3370219 -0.0168626  0.9992192  0.0395103 -0.0395103  0.9992192 
    2   158     3  1.3249120 -0.0221919  0.9994015  0.0345916 -0.0345916  0.9994015 
    2   158     4  1.3204115 -0.0219990  0.9992531  0.0386432 -0.0386432  0.9992531 
    2   159     1  1.3583207 -0.0190978  0.9995460  0.0301287 -0.0301287  0.9995460 
    2   159     2  1.3796700 -0.0124687  0.9995101  0.0312969 -0.0312969  0.9995101 
    2   159     3  1.3534600 -0.0187669  0.9993713  0.0354550 -0.0354550  0.9993713 
    2   159     4  1.3746031 -0.0123760  0.9993488  0.0360817 -0.0360817  0.9993488 
    2   160     1  1.3365947 -0.0189976  0.9992351  0.0391042 -0.0391042  0.9992351 
    2   160     2  1.3410425 -0.0189146  0.9994256  0.0338888 -0.0338888  0.9994256 
    2   160     3  1.3581171 -0.0123639  0.9991901  0.0402391 -0.0402391  0.9991901 
    2   160     4  1.3621451 -0.0124153  0.9993891  0.0349479 -0.0349479  0.9993891 
    2   161     1  1.4141994 -0.0114331  0.9995442  0.0301896 -0.0301896  0.9995442 
    2   161     2  1.4174284 -0.0115757  0.9996759  0.0254572 -0.0254572  0.9996759 
    2   161     3  1.4336369 -0.0054567  0.9995155  0.0311258 -0.0311258  0.9995155 
    2   161     4  1.4366536 -0.0056895  0.9996554  0.0262522 -0.0262522  0.9996554 
    2   162     1  1.3969416 -0.0093542  0.9993543  0.0359297 -0.0359297  0.9993543 
    2   162     2  1.3758715 -0.0157397  0.9993819  0.0351541 -0.0351541  0.9993819 
    2   162     3  1.4007675 -0.0087988  0.9995296  0.0306696 -0.0306696  0.9995296 
    2   162     4  1.3799150 -0.0151232  0.9995519  0.0299328 -0.0299328  0.9995519 
    2   163     1  1.4138952 -0.0087332  0.9996183  0.0276254 -0.0276254  0.9996183 
    2   163     2  1.4099319 -0.0063994  0.9994878  0.0320011 -0.0320011  0.9994878 
    2   163     3  1.3972825 -0.0143327  0.9996625  0.0259792 -0.0259792  0.9996625 
    2   163     4  1.3935615 -0.0124541  0.9995598  0.0296676 -0.0296676  0.9995598 
    2   164     1  1.4331316 -0.0117081  0.9997416  0.0227328 -0.0227328  0.9997416 
    2   164     2  1.4507547 -0.0062585  0.9997213  0.0236093 -0.0236093  0.9997213 
    2   164     3  1.4287281 -0.0116273  0.9996251  0.0273808 -0.0273808  0.9996251 
    2   164     4  1.4475090 -0.0059582  0.9996121  0.0278490 -0.0278490  0.9996121 
    2   165     1  1.4352121 -0.0138376  0.9996625  0.0259802 -0.0259802  0.9996625 
    2   165     2  1.4392924 -0.0085734  0.9997740  0.0212611 -0.0212611  0.9997740 
    2   165     3  1.4571457 -0.0062335  0.9997213  0.0236096 -0.0236096  0.9997213 
    2   165     4  1.4540561 -0.0040191  0.9997940  0.0202955 -0.0202955  0.9997940 
    2   166     1  1.4277479 -0.0026082  0.9996680  0.0257670 -0.0257670  0.9996680 
    2   166     2  1.4263337 -0.0105527  0.9997061  0.0242441 -0.0242441  0.9997061 
    2   166     3  1.4239651 -0.0127360  0.9996213  0.0275175 -0.0275175  0.9996213 
    2   166     4  1.4238096 -0.0160590  0.9996606  0.0260532 -0.0260532  0.9996606 
    2   167     1  1.4370548 -0.0100467  0.9997160  0.0238321 -0.0238321  0.9997160 
    2   167     2  1.4501854 -0.0042429  0.9997716  0.0213717 -0.0213717  0.9997716 
    2   167     3  1.4406587 -0.0133379  0.9996671  0.0258007 -0.0258007  0.9996671 
    2   167     4  1.4517711 -0.0081974  0.9997214  0.0236027 -0.0236027  0.9997214 
    2   168     1  1.4692407 -0.0030529  0.9996348  0.0270250 -0.0270250  0.9996348 
    2   168     2  1.4492611 -0.0091016  0.9996523  0.0263685 -0.0263685  0.9996523 
    2   168     3  1.4719241 -0.0028068  0.9997554  0.0221160 -0.0221160  0.9997554 
    2   168     4  1.4523026 -0.0087475  0.9997683  0.0215245 -0.0215245  0.9997683 
    2   169     1  1.4832646 -0.0028519  0.9997948  0.0202577 -0.0202577  0.9997948 
    2   169     2  1.4797694 -0.0016138  0.9996901  0.0248951 -0.0248951  0.9996901 
    2   169     3  1.4647806 -0.0087475  0.9998197  0.0189893 -0.0189893  0.9998197 
    2   169     4  1.4618148 -0.0075333  0.9997298  0.0232461 -0.0232461  0.9997298 
    2   170     1  1.4992879 -0.0066539  0.9998706  0.0160858 -0.0160858  0.9998706 
    2   170     2  1.5162047 -0.0014352  0.9998577  0.0168675 -0.0168675  0.9998577 
    2   170     3  1.4960353 -0.0064428  0.9997964  0.0201801 -0.0201801  0.9997964 
    2   170     4  1.5137125 -0.0009760  0.9997782  0.0210604 -0.0210604  0.9997782 
    2   171     1  1.4839021 -0.0070657  0.9997445  0.0226043 -0.0226043  0.9997445 
    2   171     2  1.4865196 -0.0062024  0.9998420  0.0177769 -0.0177769  0.9998420 
    2   171     3  1.5040824 -0.0010242  0.9997345  0.0230419 -0.0230419  0.9997345 
    2   171     4  1.5062300 -0.0002920  0.9998360  0.0181111 -0.0181111  0.9998360 
    2   172     1  1.4937478 -0.0023855  0.9997617  0.0218290 -0.0218290  0.9997617 
    2   172     2  1.4815382 -0.0074276  0.9998033  0.0198326 -0.0198326  0.9998033 
    2   172     3  1.4961626 -0.0057041  0.9998068  0.0196563 -0.0196563  0.9998068 
    2   172     4  1.4863430 -0.0097644  0.9998370  0.0180532 -0.0180532  0.9998370 
    2   173     1  1.5106617 -0.0047119  0.9998515  0.0172347 -0.0172347  0.9998515 
    2   173     2  1.5083901 -0.0034798  0.9998093  0.0195296 -0.0195296  0.9998093 
    2   173     3  1.5004846 -0.0082794  0.9998701  0.0161190 -0.0161190  0.9998701 
    2   173     4  1.4975383 -0.0070567  0.9998266  0.0186215 -0.0186215  0.9998266 
    2   174     1  1.5230766 -0.0067415  0.9999105  0.0133760 -0.0133760  0.9999105 
    2   174     2  1.5372893 -0.0023028  0.9998997  0.0141596 -0.0141596  0.9998997 
    2   174     3  1.5196453 -0.0065565  0.9998581  0.0168468 -0.0168468  0.9998581 
    2   174     4  1.5347244 -0.0018941  0.9998460  0.0175503 -0.0175503  0.9998460 
    2   175     1  1.5069733 -0.0068278  0.9998280  0.0185446 -0.0185446  0.9998280 
    2   175     2  1.5108049 -0.0067971  0.9998922  0.0146826 -0.0146826  0.9998922 
    2   175     3  1.5238135 -0.0016058  0.9998112  0.0194307 -0.0194307  0.9998112 
    2   175     4  1.5267849 -0.0018317  0.9998792  0.0155401 -0.0155401  0.9998792 
    2   176     1  1.4791055 -0.0081077  0.9998502  0.0173076 -0.0173076  0.9998502 
    2   176     2  1.4905312 -0.0046472  0.9998345  0.0181932 -0.0181932  0.9998345 
    2   176     3  1.4772817 -0.0085499  0.9997917  0.0204121 -0.0204121  0.9997917 
    2   176     4  1.4875480 -0.0054645  0.9997871  0.0206342 -0.0206342  0.9997871 
    2   177     1  1.4727920 -0.0060032  0.9997768  0.0211253 -0.0211253  0.9997768 
    2   177     2  1.4653661 -0.0121562  0.9997211  0.0236147 -0.0236147  0.9997211 
