Výsledky

Výpočtový krok 1

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 3.11.2010 15:31:49
-----------------------------------------------------------------------------
Output data for request: PRINCIPAL_STRESS
Description: Principal Stress
  Step: 1  Iteration: 2 at Time: 1
-----------------------------------------------------------------------------------------------
Group Elem.    IP       Max.       Min.     vmax_x     vmax_y     vmin_x     vmin_y 
Units                    MPa        MPa          m          m          m          m 
    1    17     2  1.3260232 -0.0224188  0.9997915  0.0204198 -0.0204198  0.9997915 
    1    17     3  1.3120424 -0.0240276  0.9997639  0.0217266 -0.0217266  0.9997639 
    1    17     4  1.3241283 -0.0196658  0.9997272  0.0233576 -0.0233576  0.9997272 
    1    18     1  1.3016668 -0.0249707  0.9996904  0.0248806 -0.0248806  0.9996904 
    1    18     2  1.3045728 -0.0263666  0.9997726  0.0213259 -0.0213259  0.9997726 
    1    18     3  1.3154288 -0.0203862  0.9996551  0.0262603 -0.0262603  0.9996551 
    1    18     4  1.3179855 -0.0219528  0.9997451  0.0225765 -0.0225765  0.9997451 
    1    19     1  1.2901360 -0.0214606  0.9996296  0.0272164 -0.0272164  0.9996296 
    1    19     2  1.2783681 -0.0275838  0.9997087  0.0241341 -0.0241341  0.9997087 
    1    19     3  1.2917820 -0.0276053  0.9996885  0.0249582 -0.0249582  0.9996885 
    1    19     4  1.2820390 -0.0323412  0.9997458  0.0225463 -0.0225463  0.9997458 
    1    20     1  1.3031278 -0.0257523  0.9997509  0.0223181 -0.0223181  0.9997509 
    1    20     2  1.3017832 -0.0220244  0.9997106  0.0240574 -0.0240574  0.9997106 
    1    20     3  1.2952108 -0.0296643  0.9997913  0.0204271 -0.0204271  0.9997913 
    1    20     4  1.2933746 -0.0258556  0.9997537  0.0221946 -0.0221946  0.9997537 
    1    21     1  1.2959605 -0.0264699  0.9997143  0.0239039 -0.0239039  0.9997143 
    1    21     2  1.3100854 -0.0220703  0.9996938  0.0247465 -0.0247465  0.9996938 
    1    21     3  1.2935324 -0.0254481  0.9996131  0.0278131 -0.0278131  0.9996131 
    1    21     4  1.3076023 -0.0209975  0.9995849  0.0288095 -0.0288095  0.9995849 
    1    22     1  1.2851478 -0.0272201  0.9994917  0.0318794 -0.0318794  0.9994917 
    1    22     2  1.2872914 -0.0260675  0.9996287  0.0272487 -0.0272487  0.9996287 
    1    22     3  1.2995999 -0.0229083  0.9994896  0.0319466 -0.0319466  0.9994896 
    1    22     4  1.3027821 -0.0214190  0.9996324  0.0271114 -0.0271114  0.9996324 
    1    23     1  1.2747070 -0.0264315  0.9994105  0.0343330 -0.0343330  0.9994105 
    1    23     2  1.2591426 -0.0310887  0.9994023  0.0345708 -0.0345708  0.9994023 
    1    23     3  1.2765508 -0.0246990  0.9995783  0.0290375 -0.0290375  0.9995783 
    1    23     4  1.2599132 -0.0297055  0.9995679  0.0293947 -0.0293947  0.9995679 
    1    24     1  1.2827622 -0.0246177  0.9996563  0.0262167 -0.0262167  0.9996563 
    1    24     2  1.2802543 -0.0231079  0.9995048  0.0314671 -0.0314671  0.9995048 
    1    24     3  1.2654393 -0.0300060  0.9996829  0.0251813 -0.0251813  0.9996829 
    1    24     4  1.2645282 -0.0282571  0.9995526  0.0299093 -0.0299093  0.9995526 
    1    25     1  1.2765828 -0.0306771  0.9997924  0.0203767 -0.0203767  0.9997924 
    1    25     2  1.2857106 -0.0267736  0.9997530  0.0222264 -0.0222264  0.9997530 
    1    25     3  1.2752955 -0.0282432  0.9997348  0.0230290 -0.0230290  0.9997348 
    1    25     4  1.2834388 -0.0252025  0.9997058  0.0242533 -0.0242533  0.9997058 
    1    26     1  1.2698968 -0.0281646  0.9996952  0.0246886 -0.0246886  0.9996952 
    1    26     2  1.2635171 -0.0342679  0.9996199  0.0275705 -0.0275705  0.9996199 
    1    26     3  1.2675220 -0.0232433  0.9996784  0.0253588 -0.0253588  0.9996784 
    1    26     4  1.2633991 -0.0291392  0.9996262  0.0273387 -0.0273387  0.9996262 
    1    27     1  1.2673596 -0.0272967  0.9997754  0.0211937 -0.0211937  0.9997754 
    1    27     2  1.2661547 -0.0281019  0.9996875  0.0249999 -0.0249999  0.9996875 
    1    27     3  1.2550057 -0.0310826  0.9997575  0.0220209 -0.0220209  0.9997575 
    1    27     4  1.2556684 -0.0312427  0.9996859  0.0250638 -0.0250638  0.9996859 
    1    28     1  1.2351338 -0.0375673  0.9995254  0.0308060 -0.0308060  0.9995254 
    1    28     2  1.2344744 -0.0317024  0.9996601  0.0260692 -0.0260692  0.9996601 
    1    28     3  1.2543720 -0.0304520  0.9996131  0.0278161 -0.0278161  0.9996131 
    1    28     4  1.2504895 -0.0259060  0.9997197  0.0236758 -0.0236758  0.9997197 
    1    29     1  1.2237231 -0.0352112  0.9994805  0.0322304 -0.0322304  0.9994805 
    1    29     2  1.2065804 -0.0406307  0.9994369  0.0335550 -0.0335550  0.9994369 
    1    29     3  1.2234212 -0.0324486  0.9996272  0.0273031 -0.0273031  0.9996272 
    1    29     4  1.2067826 -0.0376654  0.9995936  0.0285056 -0.0285056  0.9995936 
    1    30     1  1.2237889 -0.0327390  0.9997242  0.0234867 -0.0234867  0.9997242 
    1    30     2  1.2245200 -0.0337939  0.9995968  0.0283958 -0.0283958  0.9995968 
    1    30     3  1.2080050 -0.0375626  0.9997076  0.0241795 -0.0241795  0.9997076 
    1    30     4  1.2082235 -0.0387380  0.9995801  0.0289748 -0.0289748  0.9995801 
    1    31     1  1.2332192 -0.0334840  0.9997276  0.0233413 -0.0233413  0.9997276 
    1    31     2  1.2470412 -0.0289956  0.9997560  0.0220896 -0.0220896  0.9997560 
    1    31     3  1.2337123 -0.0353908  0.9996294  0.0272217 -0.0272217  0.9996294 
    1    31     4  1.2479056 -0.0309871  0.9996534  0.0263251 -0.0263251  0.9996534 
    1    32     1  1.2347862 -0.0343519  0.9996030  0.0281747 -0.0281747  0.9996030 
    1    32     2  1.2548293 -0.0282348  0.9996274  0.0272963 -0.0272963  0.9996274 
    1    32     3  1.2347837 -0.0365698  0.9994127  0.0342676 -0.0342676  0.9994127 
    1    32     4  1.2533296 -0.0307013  0.9994592  0.0328832 -0.0328832  0.9994592 
    1    33     1  1.2323957 -0.0345750  0.9993121  0.0370859 -0.0370859  0.9993121 
    1    33     2  1.2320213 -0.0337696  0.9994932  0.0318319 -0.0318319  0.9994932 
    1    33     3  1.2490183 -0.0295678  0.9993255  0.0367215 -0.0367215  0.9993255 
    1    33     4  1.2491328 -0.0286143  0.9995049  0.0314635 -0.0314635  0.9995049 
    1    34     1  1.2211571 -0.0340704  0.9992355  0.0390943 -0.0390943  0.9992355 
    1    34     2  1.2021190 -0.0399285  0.9991953  0.0401097 -0.0401097  0.9991953 
    1    34     3  1.2209701 -0.0319942  0.9994373  0.0335417 -0.0335417  0.9994373 
    1    34     4  1.2020354 -0.0377577  0.9994090  0.0343741 -0.0343741  0.9994090 
    1    35     1  1.2223035 -0.0321079  0.9995541  0.0298589 -0.0298589  0.9995541 
    1    35     2  1.2226928 -0.0341143  0.9993851  0.0350639 -0.0350639  0.9993851 
    1    35     3  1.2049100 -0.0374660  0.9995254  0.0308055 -0.0308055  0.9995254 
    1    35     4  1.2049639 -0.0396119  0.9993473  0.0361251 -0.0361251  0.9993473 
    1    36     1  1.2804532 -0.0276868  0.9997847  0.0207489 -0.0207489  0.9997847 
    1    36     2  1.2818521 -0.0301918  0.9998399  0.0178956 -0.0178956  0.9998399 
    1    36     3  1.2909620 -0.0238165  0.9997520  0.0222679 -0.0222679  0.9997520 
    1    36     4  1.2928696 -0.0262102  0.9998117  0.0194072 -0.0194072  0.9998117 
    1    37     1  1.2703874 -0.0270204  0.9997241  0.0234900 -0.0234900  0.9997241 
    1    37     2  1.2578186 -0.0310243  0.9997466  0.0225100 -0.0225100  0.9997466 
    1    37     3  1.2722306 -0.0280997  0.9998063  0.0196826 -0.0196826  0.9998063 
    1    37     4  1.2586905 -0.0323359  0.9998230  0.0188130 -0.0188130  0.9998230 
    1    38     1  1.2782412 -0.0277364  0.9998455  0.0175756 -0.0175756  0.9998455 
    1    38     2  1.2758869 -0.0231682  0.9997864  0.0206682 -0.0206682  0.9997864 
    1    38     3  1.2661378 -0.0327014  0.9998829  0.0153024 -0.0153024  0.9998829 
    1    38     4  1.2650057 -0.0285677  0.9998377  0.0180174 -0.0180174  0.9998377 
    1    39     1  1.2906797 -0.0299618  0.9998786  0.0155808 -0.0155808  0.9998786 
    1    39     2  1.2992386 -0.0262002  0.9998490  0.0173750 -0.0173750  0.9998490 
    1    39     3  1.2891756 -0.0262998  0.9998474  0.0174721 -0.0174721  0.9998474 
    1    39     4  1.2981326 -0.0221968  0.9998110  0.0194402 -0.0194402  0.9998110 
    1    40     1  1.2382016 -0.0357473  0.9998618  0.0166257 -0.0166257  0.9998618 
    1    40     2  1.2561234 -0.0302909  0.9998502  0.0173112 -0.0173112  0.9998502 
    1    40     3  1.2377942 -0.0347543  0.9997666  0.0216058 -0.0216058  0.9997666 
    1    40     4  1.2536317 -0.0300007  0.9997602  0.0218982 -0.0218982  0.9997602 
    1    41     1  1.2346086 -0.0340516  0.9997123  0.0239858 -0.0239858  0.9997123 
    1    41     2  1.2346974 -0.0346886  0.9998026  0.0198679 -0.0198679  0.9998026 
    1    41     3  1.2485908 -0.0298172  0.9997017  0.0244232 -0.0244232  0.9997017 
    1    41     4  1.2493283 -0.0302972  0.9997983  0.0200846 -0.0200846  0.9997983 
    1    42     1  1.2252974 -0.0333882  0.9996703  0.0256771 -0.0256771  0.9996703 
    1    42     2  1.2099365 -0.0379983  0.9996675  0.0257840 -0.0257840  0.9996675 
    1    42     3  1.2253565 -0.0331557  0.9997789  0.0210265 -0.0210265  0.9997789 
    1    42     4  1.2097184 -0.0378500  0.9997762  0.0211556 -0.0211556  0.9997762 
    1    43     1  1.2271691 -0.0333506  0.9998400  0.0178889 -0.0178889  0.9998400 
    1    43     2  1.2269562 -0.0345763  0.9997466  0.0225095 -0.0225095  0.9997466 
    1    43     3  1.2113897 -0.0380797  0.9998344  0.0181974 -0.0181974  0.9998344 
    1    43     4  1.2113026 -0.0392722  0.9997388  0.0228541 -0.0228541  0.9997388 
    1    44     1  1.2282866 -0.0363286  0.9998096  0.0195154 -0.0195154  0.9998096 
    1    44     2  1.2122887 -0.0411495  0.9998009  0.0199554 -0.0199554  0.9998009 
    1    44     3  1.2281589 -0.0352037  0.9998876  0.0149912 -0.0149912  0.9998876 
    1    44     4  1.2123235 -0.0399520  0.9998827  0.0153168 -0.0153168  0.9998827 
    1    45     1  1.2282343 -0.0357841  0.9999419  0.0107802 -0.0107802  0.9999419 
    1    45     2  1.2291811 -0.0349090  0.9998828  0.0153090 -0.0153090  0.9998828 
    1    45     3  1.2128823 -0.0403839  0.9999434  0.0106420 -0.0106420  0.9999434 
    1    45     4  1.2134224 -0.0396374  0.9998854  0.0151371 -0.0151371  0.9998854 
    1    46     1  1.2379868 -0.0350464  0.9999435  0.0106288 -0.0106288  0.9999435 
    1    46     2  1.2518025 -0.0307735  0.9999513  0.0098647 -0.0098647  0.9999513 
    1    46     3  1.2385993 -0.0361606  0.9998937  0.0145787 -0.0145787  0.9998937 
    1    46     4  1.2532013 -0.0317036  0.9999027  0.0139498 -0.0139498  0.9999027 
    1    47     1  1.2397335 -0.0375637  0.9998305  0.0184098 -0.0184098  0.9998305 
    1    47     2  1.2392895 -0.0344917  0.9999095  0.0134555 -0.0134555  0.9999095 
    1    47     3  1.2579421 -0.0317759  0.9998563  0.0169504 -0.0169504  0.9998563 
    1    47     4  1.2554677 -0.0295584  0.9999220  0.0124937 -0.0124937  0.9999220 
    1    48     1  1.2945040 -0.0264567  0.9998705  0.0160950 -0.0160950  0.9998705 
    1    48     2  1.2972451 -0.0290330  0.9999024  0.0139680 -0.0139680  0.9999024 
    1    48     3  1.3046017 -0.0227716  0.9998451  0.0176003 -0.0176003  0.9998451 
    1    48     4  1.3056217 -0.0255715  0.9998799  0.0155007 -0.0155007  0.9998799 
    1    49     1  1.2883810 -0.0206165  0.9998827  0.0153185 -0.0153185  0.9998827 
    1    49     2  1.2864674 -0.0292722  0.9999013  0.0140485 -0.0140485  0.9999013 
    1    49     3  1.2849218 -0.0297011  0.9998499  0.0173265 -0.0173265  0.9998499 
    1    49     4  1.2843313 -0.0340024  0.9998744  0.0158476 -0.0158476  0.9998744 
    1    50     1  1.2956870 -0.0281493  0.9999144  0.0130859 -0.0130859  0.9999144 
    1    50     2  1.3107654 -0.0236228  0.9999199  0.0126585 -0.0126585  0.9999199 
    1    50     3  1.2989049 -0.0285936  0.9998592  0.0167788 -0.0167788  0.9998592 
    1    50     4  1.3098569 -0.0250404  0.9998758  0.0157581 -0.0157581  0.9998758 
    1    51     1  1.2816709 -0.0282365  0.9998955  0.0144543 -0.0144543  0.9998955 
    1    51     2  1.2678603 -0.0341858  0.9998515  0.0172305 -0.0172305  0.9998515 
    1    51     3  1.2787362 -0.0231220  0.9999385  0.0110940 -0.0110940  0.9999385 
    1    51     4  1.2662071 -0.0294518  0.9998991  0.0142044 -0.0142044  0.9998991 
    1    52     1  1.2738412 -0.0264393  0.9999622  0.0086905 -0.0086905  0.9999622 
    1    52     2  1.2763379 -0.0290643  0.9999267  0.0121114 -0.0121114  0.9999267 
    1    52     3  1.2613147 -0.0309084  0.9999463  0.0103680 -0.0103680  0.9999463 
    1    52     4  1.2625518 -0.0338901  0.9999040  0.0138546 -0.0138546  0.9999040 
    1    53     1  1.2845323 -0.0273834  0.9999455  0.0104360 -0.0104360  0.9999455 
    1    53     2  1.2943689 -0.0224486  0.9999677  0.0080362 -0.0080362  0.9999677 
    1    53     3  1.2861947 -0.0320169  0.9999198  0.0126625 -0.0126625  0.9999198 
    1    53     4  1.2968309 -0.0267886  0.9999487  0.0101306 -0.0101306  0.9999487 
    1    54     1  1.2947029 -0.0317932  0.9998921  0.0146911 -0.0146911  0.9998921 
    1    54     2  1.2926137 -0.0259878  0.9999209  0.0125784 -0.0125784  0.9999209 
    1    54     3  1.3057649 -0.0259451  0.9999303  0.0118077 -0.0118077  0.9999303 
    1    54     4  1.3032956 -0.0208064  0.9999504  0.0099611 -0.0099611  0.9999504 
    1    55     1  1.2806117 -0.0323387  0.9999467  0.0103228 -0.0103228  0.9999467 
    1    55     2  1.2791396 -0.0283418  0.9999640  0.0084905 -0.0084905  0.9999640 
    1    55     3  1.2885726 -0.0273822  0.9999686  0.0079251 -0.0079251  0.9999686 
    1    55     4  1.2861541 -0.0247071  0.9999775  0.0067101 -0.0067101  0.9999775 
    1    56     1  1.2717759 -0.0287669  0.9999414  0.0108228 -0.0108228  0.9999414 
    1    56     2  1.2594042 -0.0323604  0.9999404  0.0109141 -0.0109141  0.9999404 
    1    56     3  1.2698662 -0.0279714  0.9999728  0.0073713 -0.0073713  0.9999728 
    1    56     4  1.2596256 -0.0311712  0.9999679  0.0080186 -0.0080186  0.9999679 
    1    57     1  1.2737751 -0.0287376  0.9999724  0.0074300 -0.0074300  0.9999724 
    1    57     2  1.2713126 -0.0241902  0.9999719  0.0074925 -0.0074925  0.9999719 
    1    57     3  1.2669981 -0.0333300  0.9999878  0.0049363 -0.0049363  0.9999878 
    1    57     4  1.2667976 -0.0288524  0.9999845  0.0055748 -0.0055748  0.9999845 
    1    58     1  1.2405791 -0.0359870  0.9999901  0.0044534 -0.0044534  0.9999901 
    1    58     2  1.2584129 -0.0303007  0.9999826  0.0058918 -0.0058918  0.9999826 
    1    58     3  1.2400937 -0.0333765  0.9999601  0.0089328 -0.0089328  0.9999601 
    1    58     4  1.2553252 -0.0286172  0.9999500  0.0099971 -0.0099971  0.9999500 
    1    59     1  1.2379082 -0.0341988  0.9999378  0.0111568 -0.0111568  0.9999378 
    1    59     2  1.2378409 -0.0353508  0.9999726  0.0074058 -0.0074058  0.9999726 
    1    59     3  1.2517313 -0.0299529  0.9999300  0.0118287 -0.0118287  0.9999300 
    1    59     4  1.2517629 -0.0311708  0.9999698  0.0077704 -0.0077704  0.9999698 
    1    60     1  1.2291519 -0.0328223  0.9999259  0.0121754 -0.0121754  0.9999259 
    1    60     2  1.2144089 -0.0372921  0.9999330  0.0115740 -0.0115740  0.9999330 
    1    60     3  1.2288057 -0.0345740  0.9999684  0.0079445 -0.0079445  0.9999684 
    1    60     4  1.2138187 -0.0391036  0.9999729  0.0073558 -0.0073558  0.9999729 
    1    61     1  1.2297473 -0.0333363  0.9999880  0.0048894 -0.0048894  0.9999880 
    1    61     2  1.2295357 -0.0333030  0.9999565  0.0093324 -0.0093324  0.9999565 
    1    61     3  1.2136625 -0.0381671  0.9999891  0.0046631 -0.0046631  0.9999891 
    1    61     4  1.2137104 -0.0380528  0.9999581  0.0091551 -0.0091551  0.9999581 
    1    62     1  1.2415269 -0.0359425  0.9999774  0.0067236 -0.0067236  0.9999774 
    1    62     2  1.2412905 -0.0349730  0.9999987  0.0016162 -0.0016162  0.9999987 
    1    62     3  1.2602461 -0.0302908  0.9999806  0.0062292 -0.0062292  0.9999806 
    1    62     4  1.2583555 -0.0298991  0.9999988  0.0015755 -0.0015755  0.9999988 
    1    63     1  1.2300617 -0.0340994  0.9999777  0.0066853 -0.0066853  0.9999777 
    1    63     2  1.2145938 -0.0387426  0.9999785  0.0065612 -0.0065612  0.9999785 
    1    63     3  1.2300778 -0.0342993  0.9999969  0.0024834 -0.0024834  0.9999969 
    1    63     4  1.2144988 -0.0389817  0.9999975  0.0022526 -0.0022526  0.9999975 
    1    64     1  1.2293775 -0.0342900  0.9999991 -0.0013665  0.0013665  0.9999991 
    1    64     2  1.2300798 -0.0327767  0.9999940  0.0034755 -0.0034755  0.9999940 
    1    64     3  1.2116366 -0.0396327  0.9999983 -0.0018586  0.0018586  0.9999983 
    1    64     4  1.2121529 -0.0381551  0.9999953  0.0030754 -0.0030754  0.9999953 
    1    65     1  1.2401050 -0.0347288  0.9999998 -0.0006284  0.0006284  0.9999998 
    1    65     2  1.2558058 -0.0299884  0.9999995 -0.0010231  0.0010231  0.9999995 
    1    65     3  1.2403000 -0.0353454  0.9999933  0.0036534 -0.0036534  0.9999933 
    1    65     4  1.2563187 -0.0305280  0.9999943  0.0033646 -0.0033646  0.9999943 
    1    66     1  1.2794696 -0.0268003  0.9999993 -0.0012041  0.0012041  0.9999993 
    1    66     2  1.2804177 -0.0276934  0.9999960  0.0028144 -0.0028144  0.9999960 
    1    66     3  1.2653154 -0.0311719  0.9999999 -0.0004438  0.0004438  0.9999999 
    1    66     4  1.2658236 -0.0321125  0.9999946  0.0032959 -0.0032959  0.9999946 
    1    67     1  1.2881645 -0.0276753  1.0000000  0.0000182 -0.0000182  1.0000000 
    1    67     2  1.2994626 -0.0238381  0.9999992 -0.0012272  0.0012272  0.9999992 
