3.0;3;-0.40307721;1.37508257;2.7497582;1
3.0;4;-0.48115718;1.57795615;2.88521565;1
3.0;5;-0.41806702;1.59741142;2.72185344;1
3.0;6;-0.32875925;1.56781542;2.5303719;1
3.0;7;-0.24387663;1.52862942;2.36445437;1
3.0;8;-0.16911636;1.49021826;2.22753913;1
3.0;9;-0.10430806;1.45515432;2.11466547;1
3.0;10;-0.04818809;1.42391619;2.02078656;1
3.0;11;6.15665043e-04;1.39629754e+00;1.94181339e+00;1
3.0;12;0.04328263;1.37193485;1.87468521;1
3.0;13;0.08090958;1.35031038;1.81688435;1
3.0;14;0.11418408;1.33118183;1.76682918;1
3.0;15;0.14398808;1.31397717;1.72279164;1
3.0;16;0.1706482;1.29864324;1.68403602;1
3.0;17;0.19466087;1.28487881;1.6496271;1
3.0;18;0.21669979;1.27213679;1.61841762;2
3.0;19;0.23659034;1.2607696;1.59059452;1
3.0;20;0.25480006;1.25039234;1.5653836;2
3.0;21;0.27169694;1.24070509;1.54218901;2
3.0;22;0.2866628;1.23249283;1.52190056;2
3.0;23;0.30112097;1.22424093;1.50236659;2
3.0;24;0.31413979;1.21706153;1.48496057;2
3.0;25;0.32689458;1.20968813;1.46792743;2
3.0;26;0.33807724;1.20364768;1.4531867;2
3.0;27;0.34866681;1.19787846;1.43928906;2
3.0;28;0.35868699;1.19239059;1.4261956;2
3.0;29;0.36813792;1.18721673;1.41390262;2
3.0;30;0.3770278;1.18237691;1.40239524;2
3.0;31;0.38542911;1.1778145;1.39156631;2
3.0;32;0.39344637;1.17343293;1.38126402;2
3.0;33;0.40116177;1.16915821;1.37137041;2
3.0;34;0.40863134;1.16494391;1.36180618;2
3.0;35;0.41589454;1.16076061;1.35251646;2
3.0;36;0.42114511;1.15870816;1.34607424;2
3.0;37;0.42770224;1.15497075;1.33774233;2
3.0;38;0.43423551;1.15109354;1.3294281;2
3.0;39;0.43867621;1.1494855;1.3240626;2
3.0;40;0.44469019;1.14590838;1.31644358;2
