32;-1.7690e-02;;2.6340e+00;2.6170e+00;;32;-1.7690e-02;;2.6340e+00;2.6170e+00;;32;-1.7690e-02;;2.6340e+00;2.6170e+00;;
33;-1.8160e-02;;2.6610e+00;2.6440e+00;;33;-1.8160e-02;;2.6610e+00;2.6440e+00;;33;-1.8160e-02;;2.6610e+00;2.6440e+00;;
34;-1.8640e-02;;2.6870e+00;2.6700e+00;;34;-1.8640e-02;;2.6870e+00;2.6700e+00;;34;-1.8640e-02;;2.6870e+00;2.6700e+00;;
35;-1.9110e-02;;2.7140e+00;2.6960e+00;;35;-1.9110e-02;;2.7140e+00;2.6960e+00;;35;-1.9110e-02;;2.7140e+00;2.6960e+00;;
36;-1.9590e-02;;2.7410e+00;2.7220e+00;;36;-1.9590e-02;;2.7410e+00;2.7220e+00;;36;-1.9590e-02;;2.7410e+00;2.7220e+00;;
37;-2.0070e-02;;2.7670e+00;2.7480e+00;;37;-2.0070e-02;;2.7670e+00;2.7480e+00;;37;-2.0070e-02;;2.7670e+00;2.7480e+00;;
38;-2.0550e-02;;2.7940e+00;2.7740e+00;;38;-2.0550e-02;;2.7940e+00;2.7740e+00;;38;-2.0550e-02;;2.7940e+00;2.7740e+00;;
39;-2.1030e-02;;2.8210e+00;2.8010e+00;;39;-2.1030e-02;;2.8210e+00;2.8010e+00;;39;-2.1030e-02;;2.8210e+00;2.8010e+00;;
40;-2.1510e-02;;2.8470e+00;2.8270e+00;;40;-2.1510e-02;;2.8470e+00;2.8270e+00;;40;-2.1510e-02;;2.8470e+00;2.8270e+00;;
41;-2.1990e-02;;2.8740e+00;2.8530e+00;;41;-2.1990e-02;;2.8740e+00;2.8530e+00;;41;-2.1990e-02;;2.8740e+00;2.8530e+00;;
42;-2.2480e-02;;2.9010e+00;2.8790e+00;;42;-2.2480e-02;;2.9010e+00;2.8790e+00;;42;-2.2480e-02;;2.9010e+00;2.8790e+00;;
43;-2.2960e-02;;2.9270e+00;2.9050e+00;;43;-2.2960e-02;;2.9270e+00;2.9050e+00;;43;-2.2960e-02;;2.9270e+00;2.9050e+00;;
44;-2.3440e-02;;2.9540e+00;2.9310e+00;;44;-2.3440e-02;;2.9540e+00;2.9310e+00;;44;-2.3440e-02;;2.9540e+00;2.9310e+00;;
45;-2.3930e-02;;2.9810e+00;2.9570e+00;;45;-2.3930e-02;;2.9810e+00;2.9570e+00;;45;-2.3930e-02;;2.9810e+00;2.9570e+00;;
46;-2.4420e-02;;3.0070e+00;2.9830e+00;;46;-2.4420e-02;;3.0070e+00;2.9830e+00;;46;-2.4420e-02;;3.0070e+00;2.9830e+00;;
47;-2.4920e-02;;3.0340e+00;3.0100e+00;;47;-2.4920e-02;;3.0340e+00;3.0100e+00;;47;-2.4920e-02;;3.0340e+00;3.0100e+00;;
