Výsledky

Výpočtový krok 2

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 14.2.2013 15:39:14
-----------------------------------------------------------------------------
Output data for request: REFERENCE_NODAL_COORDINATES
Description: Reference nodal coordinates
  Step: 2  Iteration: 2 at Time: 2
-----------------------------------------------------------------------------------------------
 Node       X(1)       X(2)
Units          m          m
  202  2.2625000  0.2753000
  203  2.2500000  0.2752000
  204  2.2500000  0.2629000
  205  2.2500000  0.2507000
  206  2.2625000  0.2876000
  207  2.2625000  0.3000000
  208  2.2500000  0.3000000
  209  2.2500000  0.2876000
  210  2.2375000  0.2630000
  211  2.2375000  0.2752000
  212  2.2250000  0.2752000
  213  2.2250000  0.2630000
  214  2.2250000  0.2507000
  215  2.2375000  0.2507000
  216  2.2375000  0.2876000
  217  2.2250000  0.2876000
  218  2.2375000  0.3000000
  219  2.2250000  0.3000000
  220  2.2125000  0.2876000
  221  2.2125000  0.3000000
  222  2.2000000  0.3000000
  223  2.2000000  0.2876000
  224  2.2000000  0.2752000
  225  2.2125000  0.2753000
  226  2.2125000  0.2630000
  227  2.2000000  0.2630000
  228  2.2000000  0.2508000
  229  2.2125000  0.2508000
  230  2.1875000  0.2630000
  231  2.1875000  0.2508000
  232  2.1875000  0.2753000
  233  2.1750000  0.2753000
  234  2.1750000  0.2630000
  235  2.1750000  0.2508000
  236  2.1875000  0.2876000
  237  2.1875000  0.3000000
  238  2.1750000  0.3000000
  239  2.1750000  0.2876000
  240  2.1625000  0.2630000
  241  2.1625000  0.2753000
  242  2.1500000  0.2753000
  243  2.1500000  0.2630000
  244  2.1500000  0.2508000
  245  2.1625000  0.2508000
  246  2.1625000  0.2876000
  247  2.1500000  0.2876000
  248  2.1625000  0.3000000
  249  2.1500000  0.3000000
  250  2.1375000  0.2876000
  251  2.1375000  0.2753000
  252  2.1375000  0.3000000
  253  2.1250000  0.3000000
  254  2.1250000  0.2876000
  255  2.1250000  0.2753000
  256  2.1375000  0.2630000
  257  2.1250000  0.2630000
  258  2.1250000  0.2509000
  259  2.1375000  0.2509000
  260  2.1125000  0.2631000
  261  2.1125000  0.2753000
  262  2.1000000  0.2753000
  263  2.1000000  0.2630000
  264  2.1000000  0.2509000
  265  2.1125000  0.2509000
  266  2.1125000  0.2876000
  267  2.1000000  0.2876000
  268  2.1125000  0.3000000
  269  2.1000000  0.3000000
  270  2.0875000  0.2876000
  271  2.0875000  0.2753000
  272  2.0875000  0.3000000
  273  2.0750000  0.3000000
  274  2.0750000  0.2876000
  275  2.0750000  0.2753000
  276  2.0875000  0.2631000
  277  2.0750000  0.2630000
  278  2.0750000  0.2509000
  279  2.0875000  0.2509000
  280  2.0625000  0.2631000
  281  2.0625000  0.2753000
  282  2.0500000  0.2753000
  283  2.0500000  0.2630000
  284  2.0500000  0.2509000
  285  2.0625000  0.2509000
  286  2.0625000  0.2876000
  287  2.0500000  0.2876000
  288  2.0625000  0.3000000
