Výsledky

Výpočtový krok 2

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 14.2.2013 15:38:16
-----------------------------------------------------------------------------
Output data for request: STRESS
Description: Stress
  Step: 2  Iteration: 2 at Time: 2
-----------------------------------------------------------------------------------------------
 Node   sigma_xx   sigma_yy     tau_xy
Units        MPa        MPa        MPa
 1302 -0.8332074  0.0001294 -0.0007033
 1303 -0.7522317  0.0002506 -0.0009123
 1304 -0.6718328  0.0003745 -0.0010249
 1305 -0.6718537  0.0003923 -0.0009022
 1306 -0.9151587  0.0000835 -0.0003372
 1307 -0.9148245  0.0000669 -0.0003932
 1308 -0.9707613 -0.0036450 -0.0001757
 1309 -0.9703642 -0.0036416 -0.0002061
 1310 -0.9144274  0.0000939 -0.0004553
 1311 -0.8328856  0.0001648 -0.0008074
 1312 -0.9698990 -0.0036327 -0.0002402
 1313 -0.9693598 -0.0036268 -0.0002782
 1314 -0.9139848  0.0000774 -0.0005234
 1315 -0.8326184  0.0001532 -0.0009192
 1316 -0.7519102  0.0002955 -0.0010364
 1317 -0.7518871  0.0002863 -0.0011658
 1318 -0.6717102  0.0004139 -0.0012770
 1319 -0.6717185  0.0004436 -0.0011513
 1320 -0.7515560  0.0003227 -0.0012953
 1321 -0.8322380  0.0001860 -0.0010366
 1322 -0.8319182  0.0001698 -0.0011569
 1323 -0.7515375  0.0002996 -0.0014196
 1324 -0.6716605  0.0004049 -0.0014961
 1325 -0.6716229  0.0004641 -0.0013950
 1326 -0.9134713  0.0001040 -0.0005973
 1327 -0.9129062  0.0000867 -0.0006760
 1328 -0.9687365 -0.0036150 -0.0003200
 1329 -0.9680231 -0.0036056 -0.0003658
 1330 -0.9122672  0.0001116 -0.0007583
 1331 -0.8314988  0.0001946 -0.0012748
 1332 -0.9672096 -0.0035896 -0.0004153
 1333 -0.9662910 -0.0035749 -0.0004681
 1334 -0.9115786  0.0000917 -0.0008418
 1335 -0.8311619  0.0001662 -0.0013833
 1336 -0.7512349  0.0003137 -0.0015279
 1337 -0.7512777  0.0002569 -0.0016064
 1338 -0.6717893  0.0002808 -0.0015805
 1339 -0.6716451  0.0004087 -0.0015651
 1340 -0.7510873  0.0002207 -0.0016343
 1341 -0.8307620  0.0001716 -0.0014710
 1342 -0.8304999  0.0001124 -0.0015210
 1343 -0.7513109  0.0000853 -0.0015806
 1344 -0.6722927 -0.0000891 -0.0013215
 1345 -0.6719313  0.0001857 -0.0015125
 1346 -0.9108262  0.0001118 -0.0009229
 1347 -0.9100455  0.0000840 -0.0009958
 1348 -0.9652593 -0.0035523 -0.0005233
 1349 -0.9641132 -0.0035297 -0.0005793
 1350 -0.9092422  0.0000906 -0.0010499
 1351 -0.8302599  0.0000655 -0.0015048
 1352 -0.9628518 -0.0034969 -0.0006336
 1353 -0.9614851 -0.0034600 -0.0006828
 1354 -0.9084828  0.0000437 -0.0010706
 1355 -0.8302914 -0.0000745 -0.0013744
 1356 -0.7513986 -0.0000758 -0.0013997
 1357 -0.7520414 -0.0004273 -0.0009996
 1358 -0.6734128 -0.0010844 -0.0002743
 1359 -0.6726759 -0.0004381 -0.0009425
 1360 -0.7526820 -0.0008891 -0.0002880
 1361 -0.8305503 -0.0002431 -0.0010653
 1362 -0.8313397 -0.0006341 -0.0004510
 1363 -0.7540328 -0.0017824  0.0009386
 1364 -0.6754859 -0.0034899  0.0025030
 1365 -0.6742281 -0.0019573  0.0008010
 1366 -0.9078238  0.0000190 -0.0010328
 1367 -0.9074118 -0.0000895 -0.0008919
 1368 -0.9600273 -0.0034064 -0.0007213
 1369 -0.9585166 -0.0033454 -0.0007370
 1370 -0.9074675 -0.0002546 -0.0005424
 1371 -0.8328947 -0.0012683  0.0007165
 1372 -0.9570319 -0.0032617 -0.0006985
 1373 -0.9557347 -0.0031441 -0.0005656
 1374 -0.9084307 -0.0005918  0.0001869
 1375 -0.8358060 -0.0024891  0.0028401
 1376 -0.7559485 -0.0032305  0.0029960
 1377 -0.7589076 -0.0058972  0.0063975
 1378 -0.6787141 -0.0101754  0.0089686
 1379 -0.6769220 -0.0059558  0.0050937
 1380 -0.7627258 -0.0109285  0.0119936
 1381 -0.8407606 -0.0050051  0.0068244
 1382 -0.8486395 -0.0107008  0.0144525
 1383 -0.7665634 -0.0209636  0.0209961
 1384 -0.6791217 -0.0300176  0.0215238
 1385 -0.6799572 -0.0174020  0.0144912
 1386 -0.9111419 -0.0013484  0.0017119
 1387 -0.9174578 -0.0032609  0.0052060
 1388 -0.9549482 -0.0030192 -0.0001953
 1389 -0.9555687 -0.0028139  0.0006710
 1390 -0.9312249 -0.0092930  0.0134262
 1391 -0.8593719 -0.0249061  0.0297600
 1392 -0.9598438 -0.0040467  0.0041422
 1393 -0.9809535 -0.0070269  0.0137939
 1394 -0.9621568 -0.0318042  0.0402620
 1395 -0.8611879 -0.0656762  0.0552574
 1396 -0.7663057 -0.0417781  0.0336503
 1397 -0.7554270 -0.0826222  0.0428153
 1398 -0.6620850 -0.0808473  0.0270846
 1399 -0.6734575 -0.0510596  0.0277684
 1400 -0.7360791 -0.1356415  0.0295911
 1401 -0.6485557 -0.1104172  0.0129112
 1402 -0.8370727 -0.1630357  0.0607054
 1403 -0.8181858 -0.2384163 -0.0075071
 1404 -0.7244666 -0.1624995 -0.0107624
 1405 -0.6408358 -0.1234713 -0.0136552
 1406 -0.9665984 -0.1472973  0.0877190
 1407 -1.0792245 -0.1284793  0.1269265
 1408 -1.2347679 -0.5561769 -0.0019426
 1409 -0.9883285 -0.4073361 -0.0038994
 1410 -0.7298061 -0.1356424 -0.0511025
 1411 -0.8301235 -0.1630385 -0.0757011
 1412 -0.8472762 -0.0656802 -0.0702563
 1413 -0.7428821 -0.0826252 -0.0643294
 1414 -0.6509000 -0.0808456 -0.0543820
 1415 -0.6429585 -0.1104164 -0.0402162
 1416 -0.9589613 -0.1472971 -0.0955160
 1417 -0.9468809 -0.0318051 -0.0480612
 1418 -1.0711212 -0.1284494 -0.1308151
 1419 -0.9647480 -0.0069644 -0.0176787
 1420 -0.9082504 -0.0092906 -0.0212314
 1421 -0.9355257 -0.0039505 -0.0080384
 1422 -0.9231478 -0.0027047 -0.0045513
 1423 -0.8868368 -0.0032954 -0.0130317
 1424 -0.8207862 -0.0106847 -0.0294710
 1425 -0.8384150 -0.0248753 -0.0447427
 1426 -0.7474173 -0.0418099 -0.0551578
 1427 -0.7413842 -0.0210083 -0.0425136
 1428 -0.6566674 -0.0300312 -0.0487921
 1429 -0.6566707 -0.0510576 -0.0550431
 1430 -0.7312937 -0.0109411 -0.0334819
 1431 -0.6518847 -0.0174355 -0.0417687
 1432 -0.8058926 -0.0049851 -0.0218130
 1433 -0.7940712 -0.0024965 -0.0178320
 1434 -0.7212640 -0.0058946 -0.0278752
 1435 -0.6450582 -0.0101820 -0.0362371
 1436 -0.8728965 -0.0013606 -0.0095095
 1437 -0.9144281 -0.0028540 -0.0036908
 1438 -0.9071123 -0.0029642 -0.0033245
 1439 -0.8625869 -0.0005993 -0.0079742
 1440 -0.7120258 -0.0032419 -0.0244783
 1441 -0.7842058 -0.0012710 -0.0157089
 1442 -0.7756357 -0.0006339 -0.0145468
 1443 -0.7037386 -0.0017653 -0.0224123
 1444 -0.6306220 -0.0034937 -0.0297535
 1445 -0.6377253 -0.0059818 -0.0323577
 1446 -0.8539880 -0.0002562 -0.0072414
 1447 -0.8462909 -0.0000856 -0.0068968
 1448 -0.9002998 -0.0030474 -0.0031897
 1449 -0.8936773 -0.0030995 -0.0031529
 1450 -0.8390652  4.39e-006 -0.0067516
 1451 -0.7678724 -0.0002658 -0.0139323
 1452 -0.8870818 -0.0031342 -0.0031661
 1453 -0.8804371 -0.0031530 -0.0032026
 1454 -0.8320828  0.0000490 -0.0067111
 1455 -0.7606733 -0.0000767 -0.0136150
 1456 -0.6961629 -0.0008680 -0.0211776
 1457 -0.6891730 -0.0004071 -0.0204583
 1458 -0.6173178 -0.0010837 -0.0269673
 1459 -0.6237394 -0.0019824 -0.0280458
 1460 -0.6823558 -0.0000830 -0.0200519
 1461 -0.7537384  0.0000614 -0.0134802
 1462 -0.7470198  0.0001106 -0.0134644
 1463 -0.6759759  0.0000825 -0.0198827
 1464 -0.6050434 -0.0000876 -0.0259063
 1465 -0.6110452 -0.0004435 -0.0262794
 1466 -0.8252029  0.0000883 -0.0067381
 1467 -0.8183634  0.0000810 -0.0067903
 1468 -0.8737014 -0.0031588 -0.0032543
 1469 -0.8668561 -0.0031631 -0.0033099
 1470 -0.8115045  0.0001067 -0.0068634
 1471 -0.7403302  0.0001672 -0.0135108
 1472 -0.8598955 -0.0031551 -0.0033645
 1473 -0.8528220 -0.0031465 -0.0034200
 1474 -0.8046162  0.0000893 -0.0069430
 1475 -0.7337690  0.0001653 -0.0136011
 1476 -0.6694899  0.0002122 -0.0198181
 1477 -0.6633861  0.0002548 -0.0198535
 1478 -0.5933339  0.0002840 -0.0256407
 1479 -0.5990866  0.0001647 -0.0257082
 1480 -0.6570851  0.0003097 -0.0199244
 1481 -0.7271548  0.0001916 -0.0137064
 1482 -0.7206121  0.0001697 -0.0138279
 1483 -0.6510896  0.0002975 -0.0200424
 1484 -0.5819958  0.0004012 -0.0257284
 1485 -0.5875921  0.0004018 -0.0256583
 1486 -0.7976654  0.0001066 -0.0070276
 1487 -0.7906635  0.0000844 -0.0071087
 1488 -0.8456359 -0.0031308 -0.0034720
 1489 -0.8383446 -0.0031159 -0.0035223
 1490 -0.7835891  0.0000983 -0.0071887
 1491 -0.7139810  0.0001822 -0.0139450
 1492 -0.8309532 -0.0030950 -0.0035674
 1493 -0.8234714 -0.0030760 -0.0036100
 1494 -0.7764616  0.0000746 -0.0072614
 1495 -0.7073986  0.0001527 -0.0140655
 1496 -0.6448517  0.0003165 -0.0201570
 1497 -0.6388831  0.0002838 -0.0202956
 1498 -0.5708385  0.0004107 -0.0259466
 1499 -0.5763617  0.0004541 -0.0258262
 1500 -0.6326527  0.0002888 -0.0204157
 1501 -0.7007160  0.0001606 -0.0141741
 1502 -0.6940742  0.0001289 -0.0142814
 1503 -0.6266717  0.0002479 -0.0205492
 1504 -0.5597530  0.0003710 -0.0261990
 1505 -0.5652505  0.0004331 -0.0260701
 1506 -0.7692648  0.0000875 -0.0073307
 1507 -0.7620208  0.0000638 -0.0073917
 1508 -0.8159057 -0.0030516 -0.0036473
 1509 -0.8082659 -0.0030296 -0.0036821
 1510 -0.7547158  0.0000764 -0.0074489
 1511 -0.6873311  0.0001354 -0.0143738
 1512 -0.8005581 -0.0030028 -0.0037117
 1513 -0.7927917 -0.0029787 -0.0037393
 1514 -0.7473723  0.0000534 -0.0074977
 1515 -0.6806283  0.0001040 -0.0144635
 1516 -0.6204236  0.0002477 -0.0206569
 1517 -0.6144150  0.0002051 -0.0207737
 1518 -0.5486835  0.0003124 -0.0264370
 1519 -0.5541784  0.0003805 -0.0263194
 1520 -0.6081409  0.0002047 -0.0208625
 1521 -0.6738280  0.0001110 -0.0145377
 1522 -0.6670706  0.0000812 -0.0146096
 1523 -0.6021009  0.0001638 -0.0209595
 1524 -0.5376042  0.0002525 -0.0266413
 1525 -0.5431068  0.0003192 -0.0265415
 1526 -0.7399774  0.0000662 -0.0075431
 1527 -0.7325534  0.0000442 -0.0075807
 1528 -0.7849719 -0.0029502 -0.0037621
 1529 -0.7771072 -0.0029247 -0.0037834
 1530 -0.7250872  0.0000574 -0.0076157
 1531 -0.6602213  0.0000893 -0.0146667
 1532 -0.7692016 -0.0028950 -0.0038004
 1533 -0.7612625 -0.0028684 -0.0038165
 1534 -0.7176004  0.0000364 -0.0076438
 1535 -0.6534183  0.0000615 -0.0147225
 1536 -0.5958004  0.0001651 -0.0210284
 1537 -0.5897306  0.0001271 -0.0211062
 1538 -0.5265035  0.0001969 -0.0268065
 1539 -0.5320183  0.0002601 -0.0267266
 1540 -0.5834072  0.0001311 -0.0211568
 1541 -0.6465296  0.0000711 -0.0147647
 1542 -0.6396905  0.0000455 -0.0148070
 1543 -0.5773117  0.0000968 -0.0212177
 1544 -0.5153801  0.0001504 -0.0269342
 1545 -0.5209069  0.0002081 -0.0268723
 1546 -0.7100798  0.0000500 -0.0076701
 1547 -0.7025457  0.0000301 -0.0076903
 1548 -0.7532930 -0.0028379 -0.0038288
 1549 -0.7452993 -0.0028104 -0.0038406
 1550 -0.6949846  0.0000440 -0.0077097
 1551 -0.6327715  0.0000565 -0.0148370
 1552 -0.7372834 -0.0027794 -0.0038492
 1553 -0.7292505 -0.0027514 -0.0038578
 1554 -0.6874159  0.0000251 -0.0077237
 1555 -0.6259048  0.0000329 -0.0148683
 1556 -0.5709698  0.0001034 -0.0212528
 1557 -0.5648532  0.0000724 -0.0212998
 1558 -0.5042351  0.0001121 -0.0270295
 1559 -0.5097731  0.0001650 -0.0269834
 1560 -0.5584975  0.0000816 -0.0213223
 1561 -0.6189635  0.0000451 -0.0148886
 1562 -0.6120765  0.0000234 -0.0149115
 1563 -0.5523643  0.0000538 -0.0213583
 1564 -0.4930726  0.0000830 -0.0270982
 1565 -0.4986197  0.0001307 -0.0270643
 1566 -0.6798257  0.0000393 -0.0077376
 1567 -0.6722324  0.0000213 -0.0077470
 1568 -0.7212019 -0.0027199 -0.0038635
 1569 -0.7131418 -0.0026916 -0.0038696
 1570 -0.6646219  0.0000356 -0.0077568
 1571 -0.6051191  0.0000364 -0.0149245
 1572 -0.7050707 -0.0026598 -0.0038732
 1573 -0.6969922 -0.0026312 -0.0038776
 1574 -0.6570116  0.0000184 -0.0077627
 1575 -0.5982174  0.0000163 -0.0149410
 1576 -0.5459989  0.0000650 -0.0213711
 1577 -0.5398527  0.0000398 -0.0213987
 1578 -0.4818959  0.0000605 -0.0271462
 1579 -0.4874505  0.0001043 -0.0271223
 1580 -0.5334811  0.0000527 -0.0214043
 1581 -0.5912492  0.0000300 -0.0149486
 1582 -0.5843373  0.0000112 -0.0149605
 1583 -0.5273251  0.0000297 -0.0214257
 1584 -0.4707090  0.0000447 -0.0271786
 1585 -0.4762690  0.0000845 -0.0271616
 1586 -0.6493873  0.0000327 -0.0077696
 1587 -0.6417658  0.0000163 -0.0077730
 1588 -0.6889062 -0.0025993 -0.0038796
 1589 -0.6808157 -0.0025704 -0.0038827
 1590 -0.6341325  0.0000305 -0.0077777
 1591 -0.5773619  0.0000254 -0.0149642
 1592 -0.6727202 -0.0025385 -0.0038837
 1593 -0.6646222 -0.0025095 -0.0038858
 1594 -0.6265037  0.0000147 -0.0077794
 1595 -0.5704429  7.65e-006 -0.0149728
 1596 -0.5209499  0.0000437 -0.0214261
 1597 -0.5147861  0.0000225 -0.0214431
 1598 -0.4595142  0.0000328 -0.0271998
 1599 -0.4650787  0.0000701 -0.0271882
 1600 -0.5084094  0.0000373 -0.0214397
 1601 -0.5634631  0.0000221 -0.0149738
 1602 -0.5565393  5.28e-006 -0.0149803
 1603 -0.5022398  0.0000176 -0.0214537
 1604 -0.4483145  0.0000253 -0.0272129
 1605 -0.4538820  0.0000598 -0.0272047
 1606 -0.6188648  0.0000288 -0.0077827
 1607 -0.6112315  0.0000136 -0.0077832
 1608 -0.6565209 -0.0024775 -0.0038861
 1609 -0.6484184 -0.0024484 -0.0038877
 1610 -0.6035894  0.0000275 -0.0077856
 1611 -0.5495571  0.0000198 -0.0149795
 1612 -0.6403138 -0.0024164 -0.0038875
 1613 -0.6322088 -0.0023872 -0.0038887
 1614 -0.5959533  0.0000127 -0.0077852
 1615 -0.5426302  3.70e-006 -0.0149845
 1616 -0.4958630  0.0000328 -0.0214480
 1617 -0.4896887  0.0000142 -0.0214599
 1618 -0.4371110  0.0000196 -0.0272207
 1619 -0.4426810  0.0000525 -0.0272151
 1620 -0.4833128  0.0000297 -0.0214524
 1621 -0.5356468  0.0000181 -0.0149825
 1622 -0.5287178  2.73e-006 -0.0149866
 1623 -0.4771346  0.0000121 -0.0214631
 1624 -0.4259055  0.0000165 -0.0272248
 1625 -0.4314772  0.0000474 -0.0272206
 1626 -0.5883095  0.0000264 -0.0077870
 1627 -0.5806720  0.0000121 -0.0077862
 1628 -0.6241025 -0.0023552 -0.0038882
 1629 -0.6159964 -0.0023260 -0.0038891
 1630 -0.5730274  0.0000254 -0.0077877
 1631 -0.5217341  0.0000170 -0.0149839
 1632 -0.6078893 -0.0022940 -0.0038884
 1633 -0.5997828 -0.0022648 -0.0038892
 1634 -0.5653893  0.0000116 -0.0077866
 1635 -0.5148037  2.12e-006 -0.0149875
 1636 -0.4707604  0.0000276 -0.0214547
 1637 -0.4645789  0.0000107 -0.0214645
 1638 -0.4146984  0.0000139 -0.0272268
 1639 -0.4202716  0.0000439 -0.0272238
 1640 -0.4582067  0.0000260 -0.0214554
 1641 -0.5078203  0.0000161 -0.0149843
 1642 -0.5008888  1.78e-006 -0.0149876
 1643 -0.4520224  9.85e-006 -0.0214649
 1644 -0.4034907  0.0000128 -0.0272274
 1645 -0.4090649  0.0000413 -0.0272248
 1646 -0.5577444  0.0000246 -0.0077878
 1647 -0.5501060  0.0000112 -0.0077866
 1648 -0.5916756 -0.0022328 -0.0038885
 1649 -0.5835691 -0.0022035 -0.0038892
 1650 -0.5424612  0.0000239 -0.0077877
 1651 -0.4939060  0.0000155 -0.0149842
 1652 -0.5754620 -0.0021716 -0.0038884
 1653 -0.5673557 -0.0021423 -0.0038891
 1654 -0.5348229  0.0000108 -0.0077864
 1655 -0.4869737  1.58e-006 -0.0149873
 1656 -0.4456525  0.0000249 -0.0214555
 1657 -0.4394655  9.21e-006 -0.0214646
 1658 -0.3922824  0.0000116 -0.0272273
 1659 -0.3978577  0.0000395 -0.0272252
 1660 -0.4330982  0.0000239 -0.0214550
 1661 -0.4799917  0.0000149 -0.0149838
 1662 -0.4730588  1.49e-006 -0.0149868
 1663 -0.4269086  8.88e-006 -0.0214641
 1664 -0.3810742  0.0000114 -0.0272267
 1665 -0.3866502  0.0000380 -0.0272246
 1666 -0.5271784  0.0000232 -0.0077874
 1667 -0.5195402  0.0000105 -0.0077861
 1668 -0.5592490 -0.0021104 -0.0038882
 1669 -0.5511430 -0.0020810 -0.0038889
 1670 -0.5118960  0.0000225 -0.0077871
 1671 -0.4660776  0.0000145 -0.0149833
 1672 -0.5430366 -0.0020492 -0.0038881
 1673 -0.5349310 -0.0020198 -0.0038887
 1674 -0.5042580  0.0000102 -0.0077858
 1675 -0.4591442  1.42e-006 -0.0149863
 1676 -0.4205438  0.0000232 -0.0214545
 1677 -0.4143517  8.51e-006 -0.0214635
 1678 -0.3698657  0.0000107 -0.0272261
 1679 -0.3754427  0.0000367 -0.0272242
 1680 -0.4079897  0.0000225 -0.0214538
 1681 -0.4521639  0.0000140 -0.0149828
 1682 -0.4452299  1.39e-006 -0.0149858
 1683 -0.4017951  8.31e-006 -0.0214628
 1684 -0.3586575  0.0000106 -0.0272253
 1685 -0.3642351  0.0000356 -0.0272233
 1686 -0.4966142  0.0000218 -0.0077868
 1687 -0.4889763  9.86e-006 -0.0077855
 1688 -0.5268249 -0.0019880 -0.0038879
 1689 -0.5187196 -0.0019586 -0.0038886
 1690 -0.4813328  0.0000212 -0.0077865
 1691 -0.4382505  0.0000136 -0.0149823
 1692 -0.5106139 -0.0019268 -0.0038877
 1693 -0.5025089 -0.0018974 -0.0038884
 1694 -0.4736952  9.55e-006 -0.0077852
 1695 -0.4313160  1.34e-006 -0.0149853
 1696 -0.3954357  0.0000218 -0.0214532
 1697 -0.3892387  8.00e-006 -0.0214622
 1698 -0.3474492  0.0000100 -0.0272246
 1699 -0.3530277  0.0000345 -0.0272227
 1700 -0.3828821  0.0000211 -0.0214525
 1701 -0.4243375  0.0000132 -0.0149818
 1702 -0.4174025  1.31e-006 -0.0149848
 1703 -0.3766826  7.79e-006 -0.0214615
 1704 -0.3362412  9.91e-006 -0.0272238
 1705 -0.3418204  0.0000334 -0.0272218
 1706 -0.4660520  0.0000205 -0.0077863
 1707 -0.4584146  9.24e-006 -0.0077849
 1708 -0.4944034 -0.0018657 -0.0038876
 1709 -0.4862987 -0.0018362 -0.0038883
 1710 -0.4507717  0.0000198 -0.0077860
 1711 -0.4104249  0.0000127 -0.0149813
 1712 -0.4781936 -0.0018045 -0.0038875
 1713 -0.4700891 -0.0017750 -0.0038882
 1714 -0.4431344  8.93e-006 -0.0077847
 1715 -0.4034894  1.24e-006 -0.0149843
 1716 -0.3703286  0.0000204 -0.0214519
 1717 -0.3641267  7.45e-006 -0.0214609
 1718 -0.3250332  9.30e-006 -0.0272231
 1719 -0.3306132  0.0000323 -0.0272212
 1720 -0.3577754  0.0000197 -0.0214512
 1721 -0.3965126  0.0000123 -0.0149809
 1722 -0.3895766  1.18e-006 -0.0149839
 1723 -0.3515710  7.20e-006 -0.0214602
 1724 -0.3138255  9.15e-006 -0.0272224
 1725 -0.3194062  0.0000311 -0.0272203
 1726 -0.4354919  0.0000191 -0.0077857
 1727 -0.4278548  8.61e-006 -0.0077844
 1728 -0.4619843 -0.0017433 -0.0038873
 1729 -0.4538802 -0.0017138 -0.0038880
 1730 -0.4202127  0.0000185 -0.0077855
 1731 -0.3826008  0.0000118 -0.0149804
 1732 -0.4457757 -0.0016822 -0.0038872
 1733 -0.4376718 -0.0016526 -0.0038879
 1734 -0.4125757  8.29e-006 -0.0077841
 1735 -0.3756642  1.11e-006 -0.0149833
 1736 -0.3452225  0.0000189 -0.0214506
 1737 -0.3390156  6.86e-006 -0.0214596
 1738 -0.3026177  8.56e-006 -0.0272217
 1739 -0.3081993  0.0000300 -0.0272198
 1740 -0.3326697  0.0000182 -0.0214499
 1741 -0.3686893  0.0000114 -0.0149798
 1742 -0.3617522  1.07e-006 -0.0149828
 1743 -0.3264604  6.66e-006 -0.0214589
 1744 -0.2914102  8.49e-006 -0.0272210
 1745 -0.2969924  0.0000289 -0.0272189
 1746 -0.4049339  0.0000178 -0.0077852
 1747 -0.3972971  7.98e-006 -0.0077838
 1748 -0.4295677 -0.0016210 -0.0038870
 1749 -0.4214641 -0.0015914 -0.0038877
 1750 -0.3896557  0.0000171 -0.0077849
 1751 -0.3547781  0.0000110 -0.0149794
 1752 -0.4133603 -0.0015599 -0.0038869
 1753 -0.4052571 -0.0015302 -0.0038876
 1754 -0.3820190  7.69e-006 -0.0077835
 1755 -0.3478404  1.06e-006 -0.0149824
 1756 -0.3201172  0.0000176 -0.0214493
 1757 -0.3139053  6.46e-006 -0.0214584
 1758 -0.2802025  8.15e-006 -0.0272205
 1759 -0.2857856  0.0000279 -0.0272184
 1760 -0.3075647  0.0000171 -0.0214489
 1761 -0.3408671  0.0000106 -0.0149790
 1762 -0.3339288  1.16e-006 -0.0149821
 1763 -0.3013502  6.53e-006 -0.0214582
 1764 -0.2689948  8.54e-006 -0.0272203
 1765 -0.2745788  0.0000271 -0.0272179
 1766 -0.3743779  0.0000165 -0.0077846
 1767 -0.3667413  7.42e-006 -0.0077833
 1768 -0.3971537 -0.0014988 -0.0038867
 1769 -0.3890507 -0.0014691 -0.0038874
 1770 -0.3591004  0.0000159 -0.0077845
 1771 -0.3269562  0.0000104 -0.0149789
 1772 -0.3809475 -0.0014376 -0.0038866
 1773 -0.3728447 -0.0014079 -0.0038874
 1774 -0.3514638  7.21e-006 -0.0077833
 1775 -0.3200170  1.40e-006 -0.0149822
 1776 -0.2950120  0.0000168 -0.0214490
 1777 -0.2887947  6.84e-006 -0.0214586
 1778 -0.2577865  9.06e-006 -0.0272210
 1779 -0.2633716  0.0000268 -0.0272183
 1780 -0.2824587  0.0000169 -0.0214498
 1781 -0.3130448  0.0000104 -0.0149793
 1782 -0.3061044  1.91e-006 -0.0149831
 1783 -0.2762383  7.75e-006 -0.0214600
 1784 -0.2465776  0.0000108 -0.0272230
 1785 -0.2521639  0.0000271 -0.0272193
 1786 -0.3438228  0.0000153 -0.0077847
 1787 -0.3361857  7.10e-006 -0.0077837
 1788 -0.3647415 -0.0013765 -0.0038867
 1789 -0.3566385 -0.0013467 -0.0038875
 1790 -0.3285442  0.0000149 -0.0077853
 1791 -0.2991322  0.0000107 -0.0149808
 1792 -0.3485348 -0.0013154 -0.0038870
 1793 -0.3404311 -0.0012855 -0.0038880
 1794 -0.3209061  7.12e-006 -0.0077847
 1795 -0.2921900  2.80e-006 -0.0149853
 1796 -0.2699042  0.0000177 -0.0214521
 1797 -0.2636803  9.35e-006 -0.0214633
 1798 -0.2353672  0.0000134 -0.0272272
 1799 -0.2409552  0.0000284 -0.0272225
 1800 -0.2573475  0.0000195 -0.0214566
 1801 -0.2852172  0.0000114 -0.0149839
 1802 -0.2782724  4.28e-006 -0.0149896
 1803 -0.2511194  0.0000122 -0.0214696
 1804 -0.2241547  0.0000182 -0.0272350
 1805 -0.2297447  0.0000313 -0.0272282
 1806 -0.3132633  0.0000147 -0.0077868
 1807 -0.3056232  7.35e-006 -0.0077869
 1808 -0.3323262 -0.0012542 -0.0038877
 1809 -0.3242207 -0.0012243 -0.0038890
 1810 -0.2979780  0.0000147 -0.0077897
 1811 -0.2712978  0.0000129 -0.0149896
 1812 -0.3161133 -0.0011929 -0.0038891
 1813 -0.3080044 -0.0011630 -0.0038909
 1814 -0.2903344  7.88e-006 -0.0077907
 1815 -0.2643492  6.57e-006 -0.0149971
 1816 -0.2447870  0.0000225 -0.0214649
 1817 -0.2385537  0.0000165 -0.0214803
 1818 -0.2129386  0.0000253 -0.0272483
 1819 -0.2185314  0.0000364 -0.0272385
 1820 -0.2322206  0.0000275 -0.0214787
 1821 -0.2573712  0.0000153 -0.0149994
 1822 -0.2504168  9.97e-006 -0.0150096
 1823 -0.2259806  0.0000231 -0.0214977
 1824 -0.2017175  0.0000360 -0.0272693
 1825 -0.2073138  0.0000443 -0.0272552
 1826 -0.2826848  0.0000150 -0.0077948
 1827 -0.2750353  8.82e-006 -0.0077972
 1828 -0.2998925 -0.0011316 -0.0038915
 1829 -0.2917776 -0.0011015 -0.0038941
 1830 -0.2673786  0.0000159 -0.0078030
 1831 -0.2434332  0.0000190 -0.0150150
 1832 -0.2836581 -0.0010701 -0.0038956
 1833 -0.2755337 -0.0010398 -0.0038993
 1834 -0.2597200  0.0000103 -0.0078075
 1835 -0.2364703  0.0000148 -0.0150290
 1836 -0.2196452  0.0000348 -0.0215004
 1837 -0.2133965  0.0000323 -0.0215245
 1838 -0.1904888  0.0000508 -0.0273015
 1839 -0.1960900  0.0000563 -0.0272815
 1840 -0.2070564  0.0000453 -0.0215331
 1841 -0.2294781  0.0000242 -0.0150388
 1842 -0.2225031  0.0000214 -0.0150579
 1843 -0.2007966  0.0000449 -0.0215641
 1844 -0.1792499  0.0000711 -0.0273484
 1845 -0.1848574  0.0000729 -0.0273204
 1846 -0.2520522  0.0000173 -0.0078156
 1847 -0.2443800  0.0000124 -0.0078229
 1848 -0.2674022 -0.0010082 -0.0039020
 1849 -0.2592629 -0.0009778 -0.0039071
 1850 -0.2366958  0.0000194 -0.0078344
 1851 -0.2154981  0.0000314 -0.0150736
 1852 -0.2511134 -0.0009460 -0.0039115
 1853 -0.2429523 -0.0009153 -0.0039186
 1854 -0.2290038  0.0000153 -0.0078454
 1855 -0.2085065  0.0000299 -0.0150994
 1856 -0.1944491  0.0000592 -0.0215804
 1857 -0.1881749  0.0000612 -0.0216202
 1858 -0.1679971  0.0000968 -0.0274145
 1859 -0.1736129  0.0000951 -0.0273765
 1860 -0.1818165  0.0000769 -0.0216463
 1861 -0.2014835  0.0000405 -0.0151226
 1862 -0.1944697  0.0000403 -0.0151566
 1863 -0.1755242  0.0000810 -0.0216967
 1864 -0.1567265  0.0001280 -0.0275038
 1865 -0.1623525  0.0001229 -0.0274536
 1866 -0.2212964  0.0000223 -0.0078610
 1867 -0.2135769  0.0000189 -0.0078766
