          x          y   sigma_xx   sigma_yy   sigma_xy
 -0.1125000  0.2876000 -0.9168260  0.0000404  0.0000013
 -0.1125000  0.2753000 -0.8347635  0.0000262  0.0000023
 -0.1125000  0.3000000 -0.9726002 -0.0036702  0.0000007
 -0.1250000  0.3000000 -0.9726023 -0.0036724  0.0000008
 -0.1250000  0.2876000 -0.9168327  0.0000186  0.0000015
 -0.1250000  0.2753000 -0.8348071  0.0000029  0.0000025
 -0.1125000  0.2631000 -0.7532109  0.0000420  0.0000028
 -0.1250000  0.2630000 -0.7533659  0.0000161  0.0000031
 -0.1250000  0.2509000 -0.6724821  0.0000204  0.0000034
 -0.1125000  0.2509000 -0.6724333  0.0000666  0.0000030
 -0.1375000  0.2631000 -0.7532119  0.0000422  0.0000034
 -0.1375000  0.2753000 -0.8347652  0.0000263  0.0000027
 -0.1500000  0.2753000 -0.8348088  0.0000031  0.0000028
 -0.1500000  0.2630000 -0.7533668  0.0000165  0.0000034
 -0.1500000  0.2509000 -0.6724826  0.0000214  0.0000036
 -0.1375000  0.2509000 -0.6724336  0.0000670  0.0000038
 -0.1375000  0.2876000 -0.9168286  0.0000404  0.0000016
 -0.1500000  0.2876000 -0.9168354  0.0000186  0.0000017
 -0.1375000  0.3000000 -0.9726034 -0.0036702  0.0000009
 -0.1500000  0.3000000 -0.9726057 -0.0036724  0.0000009
 -0.1625000  0.2876000 -0.9168314  0.0000405  0.0000017
 -0.1625000  0.2753000 -0.8347668  0.0000265  0.0000028
 -0.1625000  0.3000000 -0.9726071 -0.0036703  0.0000010
 -0.1750000  0.3000000 -0.9726096 -0.0036725  0.0000010
 -0.1750000  0.2876000 -0.9168383  0.0000187  0.0000017
 -0.1750000  0.2753000 -0.8348103  0.0000033  0.0000027
 -0.1625000  0.2631000 -0.7532126  0.0000427  0.0000033
 -0.1750000  0.2630000 -0.7533673  0.0000170  0.0000031
 -0.1750000  0.2509000 -0.6724821  0.0000220  0.0000030
 -0.1625000  0.2509000 -0.6724337  0.0000677  0.0000032
 -0.1875000  0.2631000 -0.7532128  0.0000435  0.0000026
 -0.1875000  0.2753000 -0.8347681  0.0000269  0.0000024
 -0.2000000  0.2753000 -0.8348111  0.0000039  0.0000019
 -0.2000000  0.2630000 -0.7533670  0.0000182  0.0000017
 -0.2000000  0.2509000 -0.6724814  0.0000244  0.0000010
 -0.1875000  0.2509000 -0.6724331  0.0000691  0.0000024
 -0.1875000  0.2876000 -0.9168341  0.0000406  0.0000016
 -0.2000000  0.2876000 -0.9168407  0.0000189  0.0000013
 -0.1875000  0.3000000 -0.9726110 -0.0036703  0.0000010
 -0.2000000  0.3000000 -0.9726133 -0.0036725  0.0000009
 -0.2125000  0.2876000 -0.9168359  0.0000409  0.0000010
 -0.2125000  0.2753000 -0.8347682  0.0000276  0.0000010
 -0.2125000  0.3000000 -0.9726143 -0.0036703  0.0000007
 -0.2250000  0.3000000 -0.9726159 -0.0036725  0.0000004
 -0.2250000  0.2876000 -0.9168416  0.0000192  0.0000004
 -0.2250000  0.2753000 -0.8348102  0.0000048 -0.0000003
 -0.2125000  0.2631000 -0.7532118  0.0000450  0.0000003
 -0.2250000  0.2630000 -0.7533650  0.0000200 -0.0000016
 -0.2250000  0.2509000 -0.6724788  0.0000270 -0.0000031
 -0.2125000  0.2509000 -0.6724315  0.0000716 -0.0000009
 -0.2375000  0.2631000 -0.7532085  0.0000474 -0.0000042
 -0.2375000  0.2753000 -0.8347659  0.0000288 -0.0000020
 -0.2500000  0.2753000 -0.8348060  0.0000063 -0.0000044
 -0.2500000  0.2630000 -0.7533602  0.0000232 -0.0000077
 -0.2500000  0.2509000 -0.6724744  0.0000324 -0.0000109
 -0.2375000  0.2509000 -0.6724282  0.0000755 -0.0000063
 -0.2375000  0.2876000 -0.9168355  0.0000413 -0.0000005
 -0.2500000  0.2876000 -0.9168393  0.0000198 -0.0000017
 -0.2375000  0.3000000 -0.9726157 -0.0036703  0.0000000
 -0.2500000  0.3000000 -0.9726156 -0.0036725 -0.0000006
 -0.2625000  0.2876000 -0.9168307  0.0000420 -0.0000033
 -0.2625000  0.2753000 -0.8347592  0.0000307 -0.0000077
 -0.2625000  0.3000000 -0.9726130 -0.0036703 -0.0000013
 -0.2750000  0.3000000 -0.9726095 -0.0036724 -0.0000024
 -0.2750000  0.2876000 -0.9168311  0.0000206 -0.0000055
 -0.2750000  0.2753000 -0.8347962  0.0000086 -0.0000119
 -0.2625000  0.2631000 -0.7532015  0.0000511 -0.0000124
 -0.2750000  0.2630000 -0.7533505  0.0000277 -0.0000184
 -0.2750000  0.2509000 -0.6724661  0.0000395 -0.0000240
 -0.2625000  0.2509000 -0.6724220  0.0000817 -0.0000168
 -0.2875000  0.2631000 -0.7531885  0.0000568 -0.0000260
 -0.2875000  0.2753000 -0.8347454  0.0000336 -0.0000173
 -0.3000000  0.2753000 -0.8347773  0.0000121 -0.0000243
 -0.3000000  0.2630000 -0.7533334  0.0000347 -0.0000358
 -0.3000000  0.2509000 -0.6724529  0.0000511 -0.0000451
 -0.2875000  0.2509000 -0.6724115  0.0000909 -0.0000332
 -0.2875000  0.2876000 -0.9168181  0.0000430 -0.0000083
 -0.3000000  0.2876000 -0.9168128  0.0000219 -0.0000119
 -0.2875000  0.3000000 -0.9726025 -0.0036701 -0.0000038
 -0.3000000  0.3000000 -0.9725932 -0.0036721 -0.0000055
 -0.3125000  0.2876000 -0.9167926  0.0000445 -0.0000165
 -0.3125000  0.2753000 -0.8347201  0.0000377 -0.0000330
 -0.3125000  0.3000000 -0.9725786 -0.0036697 -0.0000078
 -0.3250000  0.3000000 -0.9725598 -0.0036717 -0.0000106
 -0.3250000  0.2876000 -0.9167783  0.0000237 -0.0000222
 -0.3250000  0.2753000 -0.8347441  0.0000171 -0.0000438
 -0.3125000  0.2631000 -0.7531664  0.0000651 -0.0000479
 -0.3250000  0.2630000 -0.7533050  0.0000444 -0.0000628
 -0.3250000  0.2509000 -0.6724317  0.0000664 -0.0000776
 -0.3125000  0.2509000 -0.6723947  0.0001042 -0.0000599
 -0.3375000  0.2631000 -0.7531307  0.0000767 -0.0000810
 -0.3375000  0.2753000 -0.8346774  0.0000437 -0.0000570
 -0.3500000  0.2753000 -0.8346898  0.0000242 -0.0000733
 -0.3500000  0.2630000 -0.7532606  0.0000582 -0.0001032
 -0.3500000  0.2509000 -0.6724005  0.0000887 -0.0001256
 -0.3375000  0.2509000 -0.6723689  0.0001228 -0.0000991
 -0.3375000  0.2876000 -0.9167468  0.0000467 -0.0000292
 -0.3500000  0.2876000 -0.9167186  0.0000263 -0.0000379
 -0.3375000  0.3000000 -0.9725333 -0.0036691 -0.0000142
 -0.3500000  0.3000000 -0.9724995 -0.0036708 -0.0000186
 -0.3625000  0.2876000 -0.9166703  0.0000497 -0.0000484
 -0.3625000  0.2753000 -0.8346091  0.0000519 -0.0000929
 -0.3625000  0.3000000 -0.9724546 -0.0036680 -0.0000239
 -0.3750000  0.3000000 -0.9723984 -0.0036695 -0.0000304
 -0.3750000  0.2876000 -0.9166217  0.0000298 -0.0000611
 -0.3750000  0.2753000 -0.8346048  0.0000337 -0.0001165
 -0.3625000  0.2631000 -0.7530759  0.0000926 -0.0001298
 -0.3750000  0.2630000 -0.7531934  0.0000765 -0.0001617
 -0.3750000  0.2509000 -0.6723549  0.0001173 -0.0001943
 -0.3625000  0.2509000 -0.6723310  0.0001481 -0.0001572
 -0.3875000  0.2631000 -0.7529947  0.0001137 -0.0001993
 -0.3875000  0.2753000 -0.8345045  0.0000629 -0.0001445
 -0.4000000  0.2753000 -0.8344771  0.0000463 -0.0001778
 -0.4000000  0.2630000 -0.7530959  0.0001007 -0.0002437
 -0.4000000  0.2509000 -0.6722920  0.0001554 -0.0002896
 -0.3875000  0.2509000 -0.6722772  0.0001813 -0.0002381
 -0.3875000  0.2876000 -0.9165489  0.0000538 -0.0000764
 -0.4000000  0.2876000 -0.9164711  0.0000345 -0.0000945
 -0.3875000  0.3000000 -0.9723262 -0.0036663 -0.0000382
 -0.4000000  0.3000000 -0.9722373 -0.0036673 -0.0000476
 -0.4125000  0.2876000 -0.9163638  0.0000591 -0.0001159
 -0.4125000  0.2753000 -0.8343499  0.0000771 -0.0002168
 -0.4125000  0.3000000 -0.9721260 -0.0036636 -0.0000586
 -0.4250000  0.3000000 -0.9719906 -0.0036640 -0.0000717
 -0.4250000  0.2876000 -0.9162454  0.0000404 -0.0001410
 -0.4250000  0.2753000 -0.8342915  0.0000622 -0.0002623
 -0.4125000  0.2631000 -0.7528786  0.0001407 -0.0002954
 -0.4250000  0.2630000 -0.7529588  0.0001307 -0.0003553
 -0.4250000  0.2509000 -0.6722074  0.0002015 -0.0004174
 -0.4125000  0.2509000 -0.6722038  0.0002233 -0.0003492
 -0.4375000  0.2631000 -0.7527184  0.0001740 -0.0004237
 -0.4375000  0.2753000 -0.8341290  0.0000948 -0.0003148
 -0.4500000  0.2753000 -0.8340305  0.0000818 -0.0003752
 -0.4500000  0.2630000 -0.7527730  0.0001671 -0.0005020
 -0.4500000  0.2509000 -0.6721000  0.0002568 -0.0005825
 -0.4375000  0.2509000 -0.6721079  0.0002742 -0.0004948
 -0.4375000  0.2876000 -0.9160909  0.0000658 -0.0001703
 -0.4500000  0.2876000 -0.9159179  0.0000479 -0.0002041
 -0.4375000  0.3000000 -0.9718246 -0.0036596 -0.0000870
 -0.4500000  0.3000000 -0.9716253 -0.0036591 -0.0001048
 -0.4625000  0.2876000 -0.9157007  0.0000740 -0.0002430
 -0.4625000  0.2753000 -0.8338230  0.0001160 -0.0004438
 -0.4625000  0.3000000 -0.9713851 -0.0036537 -0.0001253
 -0.4750000  0.3000000 -0.9711000 -0.0036519 -0.0001489
 -0.4750000  0.2876000 -0.9154564  0.0000568 -0.0002872
 -0.4750000  0.2753000 -0.8336749  0.0001046 -0.0005213
 -0.4625000  0.2631000 -0.7525054  0.0002129 -0.0005897
 -0.4750000  0.2630000 -0.7525310  0.0002081 -0.0006878
 -0.4750000  0.2509000 -0.6719714  0.0003163 -0.0007869
 -0.4625000  0.2509000 -0.6719893  0.0003321 -0.0006800
 -0.4875000  0.2631000 -0.7522346  0.0002552 -0.0007953
 -0.4875000  0.2753000 -0.8334134  0.0001400 -0.0006077
 -0.5000000  0.2753000 -0.8332074  0.0001294 -0.0007033
 -0.5000000  0.2630000 -0.7522317  0.0002506 -0.0009123
 -0.5000000  0.2509000 -0.6718328  0.0003745 -0.0010249
 -0.4875000  0.2509000 -0.6718537  0.0003923 -0.0009022
 -0.4875000  0.2876000 -0.9151587  0.0000835 -0.0003372
 -0.5000000  0.2876000 -0.9148245  0.0000669 -0.0003932
 -0.4875000  0.3000000 -0.9707613 -0.0036450 -0.0001757
 -0.5000000  0.3000000 -0.9703642 -0.0036416 -0.0002061
 -0.5125000  0.2876000 -0.9144274  0.0000939 -0.0004553
 -0.5125000  0.2753000 -0.8328856  0.0001648 -0.0008074
 -0.5125000  0.3000000 -0.9698990 -0.0036327 -0.0002402
 -0.5250000  0.3000000 -0.9693598 -0.0036268 -0.0002782
 -0.5250000  0.2876000 -0.9139848  0.0000774 -0.0005234
 -0.5250000  0.2753000 -0.8326184  0.0001532 -0.0009192
 -0.5125000  0.2631000 -0.7519102  0.0002955 -0.0010364
 -0.5250000  0.2630000 -0.7518871  0.0002863 -0.0011658
 -0.5250000  0.2509000 -0.6717102  0.0004139 -0.0012770
 -0.5125000  0.2509000 -0.6717185  0.0004436 -0.0011513
 -0.5375000  0.2631000 -0.7515560  0.0003227 -0.0012953
 -0.5375000  0.2753000 -0.8322380  0.0001860 -0.0010366
 -0.5500000  0.2753000 -0.8319182  0.0001698 -0.0011569
 -0.5500000  0.2630000 -0.7515375  0.0002996 -0.0014196
 -0.5500000  0.2509000 -0.6716605  0.0004049 -0.0014961
 -0.5375000  0.2509000 -0.6716229  0.0004641 -0.0013950
 -0.5375000  0.2876000 -0.9134713  0.0001040 -0.0005973
 -0.5500000  0.2876000 -0.9129062  0.0000867 -0.0006760
 -0.5375000  0.3000000 -0.9687365 -0.0036150 -0.0003200
 -0.5500000  0.3000000 -0.9680231 -0.0036056 -0.0003658
 -0.5625000  0.2876000 -0.9122672  0.0001116 -0.0007583
 -0.5625000  0.2753000 -0.8314988  0.0001946 -0.0012748
 -0.5625000  0.3000000 -0.9672096 -0.0035896 -0.0004153
 -0.5750000  0.3000000 -0.9662910 -0.0035749 -0.0004681
 -0.5750000  0.2876000 -0.9115786  0.0000917 -0.0008418
 -0.5750000  0.2753000 -0.8311619  0.0001662 -0.0013833
 -0.5625000  0.2631000 -0.7512349  0.0003137 -0.0015279
 -0.5750000  0.2630000 -0.7512777  0.0002569 -0.0016064
 -0.5750000  0.2509000 -0.6717893  0.0002808 -0.0015805
 -0.5625000  0.2509000 -0.6716451  0.0004087 -0.0015651
 -0.5875000  0.2631000 -0.7510873  0.0002207 -0.0016343
 -0.5875000  0.2753000 -0.8307620  0.0001716 -0.0014710
 -0.6000000  0.2753000 -0.8304999  0.0001124 -0.0015210
 -0.6000000  0.2630000 -0.7513109  0.0000853 -0.0015806
 -0.6000000  0.2509000 -0.6722927 -0.0000891 -0.0013215
 -0.5875000  0.2509000 -0.6719313  0.0001857 -0.0015125
 -0.5875000  0.2876000 -0.9108262  0.0001118 -0.0009229
 -0.6000000  0.2876000 -0.9100455  0.0000840 -0.0009958
 -0.5875000  0.3000000 -0.9652593 -0.0035523 -0.0005233
 -0.6000000  0.3000000 -0.9641132 -0.0035297 -0.0005793
 -0.6125000  0.2876000 -0.9092422  0.0000906 -0.0010499
 -0.6125000  0.2753000 -0.8302599  0.0000655 -0.0015048
 -0.6125000  0.3000000 -0.9628518 -0.0034969 -0.0006336
 -0.6250000  0.3000000 -0.9614851 -0.0034600 -0.0006828
 -0.6250000  0.2876000 -0.9084828  0.0000437 -0.0010706
 -0.6250000  0.2753000 -0.8302914 -0.0000745 -0.0013744
 -0.6125000  0.2631000 -0.7513986 -0.0000758 -0.0013997
 -0.6250000  0.2630000 -0.7520414 -0.0004273 -0.0009996
 -0.6250000  0.2509000 -0.6734128 -0.0010844 -0.0002743
 -0.6125000  0.2509000 -0.6726759 -0.0004381 -0.0009425
 -0.6375000  0.2631000 -0.7526820 -0.0008891 -0.0002880
 -0.6375000  0.2753000 -0.8305503 -0.0002431 -0.0010653
 -0.6500000  0.2753000 -0.8313397 -0.0006341 -0.0004510
 -0.6500000  0.2630000 -0.7540328 -0.0017824  0.0009386
 -0.6500000  0.2508000 -0.6754859 -0.0034899  0.0025030
 -0.6375000  0.2509000 -0.6742281 -0.0019573  0.0008010
 -0.6375000  0.2876000 -0.9078238  0.0000190 -0.0010328
 -0.6500000  0.2876000 -0.9074118 -0.0000895 -0.0008919
 -0.6375000  0.3000000 -0.9600273 -0.0034064 -0.0007213
 -0.6500000  0.3000000 -0.9585166 -0.0033454 -0.0007370
 -0.6625000  0.2876000 -0.9074675 -0.0002546 -0.0005424
 -0.6625000  0.2753000 -0.8328947 -0.0012683  0.0007165
 -0.6625000  0.3000000 -0.9570319 -0.0032617 -0.0006985
 -0.6750000  0.3000000 -0.9557347 -0.0031441 -0.0005656
 -0.6750000  0.2876000 -0.9084307 -0.0005918  0.0001869
 -0.6750000  0.2753000 -0.8358060 -0.0024891  0.0028401
 -0.6625000  0.2630000 -0.7559485 -0.0032305  0.0029960
 -0.6750000  0.2630000 -0.7589076 -0.0058972  0.0063975
 -0.6750000  0.2508000 -0.6787141 -0.0101754  0.0089686
 -0.6625000  0.2508000 -0.6769220 -0.0059558  0.0050937
 -0.6875000  0.2630000 -0.7627258 -0.0109285  0.0119936
 -0.6875000  0.2753000 -0.8407606 -0.0050051  0.0068244
 -0.7000000  0.2753000 -0.8486395 -0.0107008  0.0144525
 -0.7000000  0.2630000 -0.7665634 -0.0209636  0.0209961
 -0.7000000  0.2508000 -0.6791217 -0.0300176  0.0215238
 -0.6875000  0.2508000 -0.6799572 -0.0174020  0.0144912
 -0.6875000  0.2876000 -0.9111419 -0.0013484  0.0017119
 -0.7000000  0.2876000 -0.9174578 -0.0032609  0.0052060
 -0.6875000  0.3000000 -0.9549482 -0.0030192 -0.0001953
 -0.7000000  0.3000000 -0.9555687 -0.0028139  0.0006710
 -0.7125000  0.2876000 -0.9312249 -0.0092930  0.0134262
 -0.7125000  0.2753000 -0.8593719 -0.0249061  0.0297600
 -0.7125000  0.3000000 -0.9598438 -0.0040467  0.0041422
 -0.7250000  0.3000000 -0.9809535 -0.0070269  0.0137939
 -0.7250000  0.2876000 -0.9621568 -0.0318042  0.0402620
 -0.7250000  0.2752000 -0.8611879 -0.0656762  0.0552574
 -0.7125000  0.2630000 -0.7663057 -0.0417781  0.0336503
 -0.7250000  0.2630000 -0.7554270 -0.0826222  0.0428153
 -0.7250000  0.2507000 -0.6620850 -0.0808473  0.0270846
 -0.7125000  0.2508000 -0.6734575 -0.0510596  0.0277684
 -0.7375000  0.2630000 -0.7360791 -0.1356415  0.0295911
 -0.7375000  0.2507000 -0.6485557 -0.1104172  0.0129112
 -0.7375000  0.2753000 -0.8370727 -0.1630357  0.0607054
 -0.7500000  0.2752000 -0.8181858 -0.2384163 -0.0075071
 -0.7500000  0.2629000 -0.7244666 -0.1624995 -0.0107624
 -0.7500000  0.2507000 -0.6408358 -0.1234713 -0.0136552
 -0.7375000  0.2876000 -0.9665984 -0.1472973  0.0877190
 -0.7375000  0.3000000 -1.0792245 -0.1284793  0.1269265
 -0.7500000  0.3000000 -1.2347679 -0.5561769 -0.0019426
 -0.7500000  0.2876000 -0.9883285 -0.4073361 -0.0038994
 -0.7625000  0.2630000 -0.7298061 -0.1356424 -0.0511025
 -0.7625000  0.2753000 -0.8301235 -0.1630385 -0.0757011
 -0.7750000  0.2752000 -0.8472762 -0.0656802 -0.0702563
 -0.7750000  0.2630000 -0.7428821 -0.0826252 -0.0643294
 -0.7750000  0.2507000 -0.6509000 -0.0808456 -0.0543820
 -0.7625000  0.2507000 -0.6429585 -0.1104164 -0.0402162
 -0.7625000  0.2876000 -0.9589613 -0.1472971 -0.0955160
 -0.7750000  0.2876000 -0.9468809 -0.0318051 -0.0480612
 -0.7625000  0.3000000 -1.0711212 -0.1284494 -0.1308151
 -0.7750000  0.3000000 -0.9647480 -0.0069644 -0.0176787
 -0.7875000  0.2876000 -0.9082504 -0.0092906 -0.0212314
 -0.7875000  0.3000000 -0.9355257 -0.0039505 -0.0080384
 -0.8000000  0.3000000 -0.9231478 -0.0027047 -0.0045513
 -0.8000000  0.2876000 -0.8868368 -0.0032954 -0.0130317
 -0.8000000  0.2752000 -0.8207862 -0.0106847 -0.0294710
 -0.7875000  0.2753000 -0.8384150 -0.0248753 -0.0447427
 -0.7875000  0.2630000 -0.7474173 -0.0418099 -0.0551578
 -0.8000000  0.2630000 -0.7413842 -0.0210083 -0.0425136
 -0.8000000  0.2508000 -0.6566674 -0.0300312 -0.0487921
 -0.7875000  0.2508000 -0.6566707 -0.0510576 -0.0550431
 -0.8125000  0.2630000 -0.7312937 -0.0109411 -0.0334819
 -0.8125000  0.2508000 -0.6518847 -0.0174355 -0.0417687
 -0.8125000  0.2753000 -0.8058926 -0.0049851 -0.0218130
 -0.8250000  0.2753000 -0.7940712 -0.0024965 -0.0178320
 -0.8250000  0.2630000 -0.7212640 -0.0058946 -0.0278752
 -0.8250000  0.2508000 -0.6450582 -0.0101820 -0.0362371
 -0.8125000  0.2876000 -0.8728965 -0.0013606 -0.0095095
 -0.8125000  0.3000000 -0.9144281 -0.0028540 -0.0036908
 -0.8250000  0.3000000 -0.9071123 -0.0029642 -0.0033245
 -0.8250000  0.2876000 -0.8625869 -0.0005993 -0.0079742
 -0.8375000  0.2630000 -0.7120258 -0.0032419 -0.0244783
 -0.8375000  0.2753000 -0.7842058 -0.0012710 -0.0157089
 -0.8500000  0.2753000 -0.7756357 -0.0006339 -0.0145468
 -0.8500000  0.2630000 -0.7037386 -0.0017653 -0.0224123
 -0.8500000  0.2508000 -0.6306220 -0.0034937 -0.0297535
 -0.8375000  0.2508000 -0.6377253 -0.0059818 -0.0323577
 -0.8375000  0.2876000 -0.8539880 -0.0002562 -0.0072414
 -0.8500000  0.2876000 -0.8462909 -0.0000856 -0.0068968
 -0.8375000  0.3000000 -0.9002998 -0.0030474 -0.0031897
 -0.8500000  0.3000000 -0.8936773 -0.0030995 -0.0031529
 -0.8625000  0.2876000 -0.8390652  0.0000044 -0.0067516
 -0.8625000  0.2753000 -0.7678724 -0.0002658 -0.0139323
 -0.8625000  0.3000000 -0.8870818 -0.0031342 -0.0031661
 -0.8750000  0.3000000 -0.8804371 -0.0031530 -0.0032026
 -0.8750000  0.2876000 -0.8320828  0.0000490 -0.0067111
 -0.8750000  0.2753000 -0.7606733 -0.0000767 -0.0136150
 -0.8625000  0.2630000 -0.6961629 -0.0008680 -0.0211776
 -0.8750000  0.2630000 -0.6891730 -0.0004071 -0.0204583
 -0.8750000  0.2509000 -0.6173178 -0.0010837 -0.0269673
 -0.8625000  0.2509000 -0.6237394 -0.0019824 -0.0280458
 -0.8875000  0.2631000 -0.6823558 -0.0000830 -0.0200519
 -0.8875000  0.2753000 -0.7537384  0.0000614 -0.0134802
 -0.9000000  0.2753000 -0.7470198  0.0001106 -0.0134644
 -0.9000000  0.2630000 -0.6759759  0.0000825 -0.0198827
 -0.9000000  0.2509000 -0.6050434 -0.0000876 -0.0259063
 -0.8875000  0.2509000 -0.6110452 -0.0004435 -0.0262794
 -0.8875000  0.2876000 -0.8252029  0.0000883 -0.0067381
 -0.9000000  0.2876000 -0.8183634  0.0000810 -0.0067903
 -0.8875000  0.3000000 -0.8737014 -0.0031588 -0.0032543
 -0.9000000  0.3000000 -0.8668561 -0.0031631 -0.0033099
 -0.9125000  0.2876000 -0.8115045  0.0001067 -0.0068634
 -0.9125000  0.2753000 -0.7403302  0.0001672 -0.0135108
 -0.9125000  0.3000000 -0.8598955 -0.0031551 -0.0033645
 -0.9250000  0.3000000 -0.8528220 -0.0031465 -0.0034200
 -0.9250000  0.2876000 -0.8046162  0.0000893 -0.0069430
 -0.9250000  0.2753000 -0.7337690  0.0001653 -0.0136011
 -0.9125000  0.2631000 -0.6694899  0.0002122 -0.0198181
 -0.9250000  0.2630000 -0.6633861  0.0002548 -0.0198535
 -0.9250000  0.2509000 -0.5933339  0.0002840 -0.0256407
 -0.9125000  0.2509000 -0.5990866  0.0001647 -0.0257082
 -0.9375000  0.2631000 -0.6570851  0.0003097 -0.0199244
 -0.9375000  0.2753000 -0.7271548  0.0001916 -0.0137064
 -0.9500000  0.2753000 -0.7206121  0.0001697 -0.0138279
 -0.9500000  0.2630000 -0.6510896  0.0002975 -0.0200424
 -0.9500000  0.2509000 -0.5819958  0.0004012 -0.0257284
 -0.9375000  0.2509000 -0.5875921  0.0004018 -0.0256583
 -0.9375000  0.2876000 -0.7976654  0.0001066 -0.0070276
 -0.9500000  0.2876000 -0.7906635  0.0000844 -0.0071087
 -0.9375000  0.3000000 -0.8456359 -0.0031308 -0.0034720
 -0.9500000  0.3000000 -0.8383446 -0.0031159 -0.0035223
 -0.9625000  0.2876000 -0.7835891  0.0000983 -0.0071887
 -0.9625000  0.2753000 -0.7139810  0.0001822 -0.0139450
 -0.9625000  0.3000000 -0.8309532 -0.0030950 -0.0035674
 -0.9750000  0.3000000 -0.8234714 -0.0030760 -0.0036100
 -0.9750000  0.2876000 -0.7764616  0.0000746 -0.0072614
 -0.9750000  0.2753000 -0.7073986  0.0001527 -0.0140655
 -0.9625000  0.2631000 -0.6448517  0.0003165 -0.0201570
 -0.9750000  0.2630000 -0.6388831  0.0002838 -0.0202956
 -0.9750000  0.2509000 -0.5708385  0.0004107 -0.0259466
 -0.9625000  0.2509000 -0.5763617  0.0004541 -0.0258262
 -0.9875000  0.2631000 -0.6326527  0.0002888 -0.0204157
 -0.9875000  0.2753000 -0.7007160  0.0001606 -0.0141741
 -1.0000000  0.2753000 -0.6940742  0.0001289 -0.0142814
 -1.0000000  0.2630000 -0.6266717  0.0002479 -0.0205492
 -1.0000000  0.2509000 -0.5597530  0.0003710 -0.0261990
 -0.9875000  0.2509000 -0.5652505  0.0004331 -0.0260701
 -0.9875000  0.2876000 -0.7692648  0.0000875 -0.0073307
 -1.0000000  0.2876000 -0.7620208  0.0000638 -0.0073917
 -0.9875000  0.3000000 -0.8159057 -0.0030516 -0.0036473
 -1.0000000  0.3000000 -0.8082659 -0.0030296 -0.0036821
 -1.0125000  0.2876000 -0.7547158  0.0000764 -0.0074489
 -1.0125000  0.2753000 -0.6873311  0.0001354 -0.0143738
 -1.0125000  0.3000000 -0.8005581 -0.0030028 -0.0037117
 -1.0250000  0.3000000 -0.7927917 -0.0029787 -0.0037393
 -1.0250000  0.2876000 -0.7473723  0.0000534 -0.0074977
 -1.0250000  0.2753000 -0.6806283  0.0001040 -0.0144635
 -1.0125000  0.2631000 -0.6204236  0.0002477 -0.0206569
 -1.0250000  0.2630000 -0.6144150  0.0002051 -0.0207737
 -1.0250000  0.2509000 -0.5486835  0.0003124 -0.0264370
 -1.0125000  0.2509000 -0.5541784  0.0003805 -0.0263194
 -1.0375000  0.2631000 -0.6081409  0.0002047 -0.0208625
 -1.0375000  0.2753000 -0.6738280  0.0001110 -0.0145377
 -1.0500000  0.2753000 -0.6670706  0.0000812 -0.0146096
 -1.0500000  0.2630000 -0.6021009  0.0001638 -0.0209595
 -1.0500000  0.2509000 -0.5376042  0.0002525 -0.0266413
 -1.0375000  0.2509000 -0.5431068  0.0003192 -0.0265415
 -1.0375000  0.2876000 -0.7399774  0.0000662 -0.0075431
 -1.0500000  0.2876000 -0.7325534  0.0000442 -0.0075807
 -1.0375000  0.3000000 -0.7849719 -0.0029502 -0.0037621
 -1.0500000  0.3000000 -0.7771072 -0.0029247 -0.0037834
 -1.0625000  0.2876000 -0.7250872  0.0000574 -0.0076157
 -1.0625000  0.2753000 -0.6602213  0.0000893 -0.0146667
 -1.0625000  0.3000000 -0.7692016 -0.0028950 -0.0038004
 -1.0750000  0.3000000 -0.7612625 -0.0028684 -0.0038165
 -1.0750000  0.2876000 -0.7176004  0.0000364 -0.0076438
 -1.0750000  0.2753000 -0.6534183  0.0000615 -0.0147225
 -1.0625000  0.2631000 -0.5958004  0.0001651 -0.0210284
 -1.0750000  0.2630000 -0.5897306  0.0001271 -0.0211062
 -1.0750000  0.2509000 -0.5265035  0.0001969 -0.0268065
 -1.0625000  0.2509000 -0.5320183  0.0002601 -0.0267266
 -1.0875000  0.2631000 -0.5834072  0.0001311 -0.0211568
 -1.0875000  0.2753000 -0.6465296  0.0000711 -0.0147647
 -1.1000000  0.2753000 -0.6396905  0.0000455 -0.0148070
 -1.1000000  0.2630000 -0.5773117  0.0000968 -0.0212177
 -1.1000000  0.2509000 -0.5153801  0.0001504 -0.0269342
 -1.0875000  0.2509000 -0.5209069  0.0002081 -0.0268723
 -1.0875000  0.2876000 -0.7100798  0.0000500 -0.0076701
 -1.1000000  0.2876000 -0.7025457  0.0000301 -0.0076903
 -1.0875000  0.3000000 -0.7532930 -0.0028379 -0.0038288
 -1.1000000  0.3000000 -0.7452993 -0.0028104 -0.0038406
 -1.1125000  0.2876000 -0.6949846  0.0000440 -0.0077097
 -1.1125000  0.2753000 -0.6327715  0.0000565 -0.0148370
 -1.1125000  0.3000000 -0.7372834 -0.0027794 -0.0038492
 -1.1250000  0.3000000 -0.7292505 -0.0027514 -0.0038578
 -1.1250000  0.2876000 -0.6874159  0.0000251 -0.0077237
 -1.1250000  0.2753000 -0.6259048  0.0000329 -0.0148683
 -1.1125000  0.2631000 -0.5709698  0.0001034 -0.0212528
 -1.1250000  0.2630000 -0.5648532  0.0000724 -0.0212998
