Node	Load	DX (mm)	DY (mm)	DZ (mm)	RX ([rad])	RY ([rad])	RZ ([rad])
245	vitr_zprava	-1.317860	0.811682	-0.004928	-0.000156	-0.000101	-0.000030
246	vitr_zprava	-1.306277	0.793528	-0.004367	-0.000153	-0.000099	-0.000031
247	vitr_zprava	-1.293474	0.773082	-0.003411	-0.000151	-0.000095	-0.000032
248	vitr_zprava	-1.281084	0.753056	-0.002630	-0.000148	-0.000092	-0.000033
249	vitr_zprava	-1.268152	0.732265	-0.002953	-0.000145	-0.000089	-0.000033
250	vitr_zprava	-1.254136	0.709271	-0.002900	-0.000141	-0.000086	-0.000034
251	vitr_zprava	-1.240808	0.686597	-0.001660	-0.000138	-0.000083	-0.000035
252	vitr_zprava	-1.226973	0.663179	-0.001502	-0.000134	-0.000079	-0.000035
253	vitr_zprava	-1.212215	0.637688	-0.001052	-0.000130	-0.000076	-0.000036
254	vitr_zprava	-1.197741	0.612418	-0.000898	-0.000126	-0.000072	-0.000037
255	vitr_zprava	-1.183169	0.586442	-0.000534	-0.000122	-0.000069	-0.000037
256	vitr_zprava	-1.167844	0.558561	-0.000005	-0.000117	-0.000065	-0.000038
257	vitr_zprava	-1.153906	0.533126	-0.000176	-0.000113	-0.000061	-0.000038
258	vitr_zprava	-1.137267	0.502458	-0.000811	-0.000112	-0.000059	-0.000039
259	vitr_zprava	-1.121179	0.472341	-0.001580	-0.000110	-0.000057	-0.000040
260	vitr_zprava	-1.105692	0.442320	-0.001602	-0.000108	-0.000055	-0.000040
261	vitr_zprava	-1.089849	0.412107	-0.003041	-0.000106	-0.000054	-0.000041
262	vitr_zprava	-1.074777	0.381915	-0.003125	-0.000104	-0.000052	-0.000041
263	vitr_zprava	-1.057844	0.347669	-0.003527	-0.000102	-0.000049	-0.000042
264	vitr_zprava	-1.041835	0.314932	-0.004119	-0.000099	-0.000047	-0.000042
265	vitr_zprava	-1.025535	0.281673	-0.005364	-0.000096	-0.000045	-0.000043
266	vitr_zprava	-1.008936	0.246956	-0.006236	-0.000093	-0.000043	-0.000043
267	vitr_zprava	-0.992949	0.212703	-0.006723	-0.000090	-0.000041	-0.000043
268	vitr_zprava	-0.976729	0.177578	-0.007300	-0.000086	-0.000039	-0.000044
269	vitr_zprava	-0.960343	0.141178	-0.007467	-0.000083	-0.000037	-0.000044
270	vitr_zprava	-0.944570	0.104786	-0.006867	-0.000079	-0.000035	-0.000044
271	vitr_zprava	-0.928628	0.068491	-0.006979	-0.000074	-0.000032	-0.000044
272	vitr_zprava	-0.912654	0.030709	-0.006329	-0.000070	-0.000030	-0.000044
273	vitr_zprava	-0.896857	-0.006639	-0.005936	-0.000065	-0.000028	-0.000044
274	vitr_zprava	-0.881396	-0.044208	-0.005090	-0.000061	-0.000026	-0.000044
275	vitr_zprava	-0.866035	-0.082999	-0.003559	-0.000055	-0.000024	-0.000044
276	vitr_zprava	-0.850851	-0.121368	-0.002158	-0.000050	-0.000021	-0.000044
277	vitr_zprava	-0.840049	-0.148485	-0.001277	-0.000046	-0.000020	-0.000044
278	vitr_zprava	-0.828995	-0.177356	0.000129	-0.000042	-0.000018	-0.000044
279	vitr_zprava	-0.817931	-0.206248	0.001535	-0.000042	-0.000018	-0.000044
